# Thẻ BỔ SUNG cho người học A1 — nhóm tần suất trung bình còn lại.
# Đã bỏ các mục nhiễu trong candidates-a1.txt: dạng sở hữu ("team's" — matcher vẫn khớp "team"),
# tên riêng (john, sam), và từ viết tắt của chính app (pmi, acp).
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-practice-n | vocabulary | practice, practices, practiced, practicing, practise | /ˈpræktɪs/ | n | a way of doing something that is established and repeated | thực hành, cách làm đã thành nếp | "Agile practices" = các cách làm cụ thể (standup, pairing, CI). Nhỏ hơn framework, lớn hơn một thao tác lẻ. | Adopting practices without the mindset gives you agile in name only.
vocab-map | vocabulary | map, maps, mapped, mapping | /mæp/ | v | to draw or lay out how things relate | vẽ sơ đồ, ánh xạ | Gốc của story mapping và value stream mapping — hai kỹ thuật "vẽ ra để nhìn thấy toàn cảnh". | Value stream mapping shows where the waiting really happens.
vocab-further | exam-phrase | further, furthermore, moreover | /ˈfɜːrðər/ | adv | to a greater degree; in addition | thêm nữa, hơn nữa | Nối thêm ý cùng chiều. "Further investigation is needed" = cần tìm hiểu thêm. | Furthermore, the defect rate had doubled.
vocab-past | exam-phrase | past, in the past | /pæst/ | n | the time before now | quá khứ | "Past performance" = kết quả đã đạt trước đây — cơ sở duy nhất đáng tin để forecast. | Forecast from past performance, not from optimism.
vocab-face | vocabulary | face, faces, faced, facing | /feɪs/ | v | to have to deal with a difficult situation | đối mặt với | "The team is facing…" mở đầu tình huống khó. Khác với "face-to-face" (trực tiếp). | The team is facing a dependency it cannot control.
vocab-proceed | vocabulary | proceed, proceeds, proceeded, proceeding | /prəˈsiːd/ | v | to continue or go ahead with something | tiến hành, tiếp tục | "How should the team proceed?" = nhóm nên tiến hành thế nào — dạng câu hỏi hành động tiếp theo. | How should the team proceed given this new information?
vocab-length | vocabulary | length, lengthy, lengthen | /leŋθ/ | n | how long something is | độ dài | "Sprint length" là bất biến trong Scrum: chọn rồi thì giữ nguyên để nhịp làm việc ổn định. | Keep the sprint length constant so the rhythm stabilises.
vocab-related | vocabulary | relate, relates, related, relating | /rɪˈleɪtɪd/ | adj | connected with something | liên quan, có liên hệ | "Related items" nên gom lại để tránh phụ thuộc chéo giữa các sprint. | Group related stories so they can be delivered together.
vocab-display | vocabulary | display, displays, displayed, displaying | /dɪˈspleɪ/ | v | to show something publicly | trưng bày, hiển thị | Information radiator là thứ được "displayed" ở nơi ai cũng thấy, không giấu trong công cụ. | The chart is displayed where the whole team walks past it.
vocab-rate | vocabulary | rate, rates, rated, rating | /reɪt/ | n | a measure of how often or how fast something happens | tỉ lệ, nhịp độ | "Defect rate", "run rate", "burn rate" — các chỉ số theo đơn vị thời gian. | The defect rate doubled after the team skipped code review.
vocab-written | vocabulary | write, writes, wrote, written, writing | /ˈrɪtn/ | adj | expressed in writing | (được) viết ra | Quá khứ phân từ bất quy tắc của write. "Written agreement" khác "verbal agreement" (thoả thuận miệng). | The working agreement is written down where everyone sees it.
vocab-space | vocabulary | space, spaces, workspace | /speɪs/ | n | an area available for use | không gian | "Team space" và "workspace" ảnh hưởng trực tiếp tới osmotic communication — ngồi chung thì thông tin tự lan. | An open team space makes osmotic communication possible.
vocab-especially | exam-phrase | especially | /ɪˈspeʃəli/ | adv | more than usual; above all | đặc biệt là | Nhấn mạnh một trường hợp nổi bật trong nhóm vừa nêu — thường chính là chi tiết đề muốn bạn chú ý. | Feedback matters, especially when the requirements are unclear.
vocab-nothing | exam-phrase | nothing | /ˈnʌθɪŋ/ | pron | not a single thing | không gì cả | "Nothing was finished" = không hoàn thành gì — dấu hiệu WIP quá cao, nhóm mở nhiều việc mà không đóng được việc nào. | Nothing was finished, although everything was started.
vocab-stay | vocabulary | stay, stays, stayed, staying | /steɪ/ | v | to remain in the same place or state | giữ nguyên, ở lại | "Stay within the timebox" = giữ đúng khung giờ. "Stay focused" = giữ tập trung. | Stay within the fifteen-minute timebox.
vocab-associated | vocabulary | associates, associated, association | /əˈsoʊsieɪtɪd/ | adj | connected with something else | liên đới, gắn với | "The risks associated with…" = các rủi ro đi kèm với… — cách diễn đạt trang trọng rất hay gặp. | Consider the risks associated with the new vendor.
vocab-act | vocabulary | act, acts, acted, acting, action, actions | /ækt/ | v | to do something in response | hành động | "Take action" = hành động. "Action item" = việc cần làm được chốt sau cuộc họp, phải cụ thể và có người phụ trách. | Turn the discussion into one concrete action item.
vocab-simply | exam-phrase | simply | /ˈsɪmpli/ | adv | in a plain or easy way; merely | đơn giản là, chỉ đơn thuần | Sắc thái "chỉ đơn thuần" thường mang tính phê phán: "simply adding people" = chỉ thêm người thôi thì không giải quyết được. | Simply adding people does not fix a process problem.
vocab-direction | vocabulary | direction, directions, redirect | /dəˈrekʃn/ | n | the course something is moving along | hướng đi | Định nghĩa agility: đổi DIRECTION nhanh với chi phí thấp — không phải chạy nhanh theo một hướng. | Agility is the ability to change direction cheaply.
vocab-newly | vocabulary | newly, newer, newest | /ˈnuːli/ | adv | recently | mới (vừa mới) | "A newly formed team" = nhóm vừa lập — đang ở giai đoạn forming, cần nhiều hướng dẫn hơn. | A newly formed team needs more structure, not less.
vocab-top | exam-phrase | top, top of the backlog | /tɑːp/ | n | the highest part | đỉnh, phần trên cùng | "Top of the backlog" = phần đầu backlog, chứa item giá trị cao nhất và đã được làm rõ nhất. | The top of the backlog is always the most refined part.
vocab-contain | vocabulary | contain, contains, contained, containing | /kənˈteɪn/ | v | to have something inside | chứa, bao gồm | "The backlog contains…" — liệt kê thành phần. Đừng nhầm với "maintain" (duy trì). | The sprint backlog contains the plan for reaching the goal.
vocab-website | vocabulary | website, websites, web | /ˈwebsaɪt/ | n | a set of pages on the internet | trang web | Bối cảnh sản phẩm rất hay gặp trong đề: nhóm đang xây website hoặc mobile app cho khách hàng. | The team is building a website for a retail customer.
vocab-rest | exam-phrase | rest, the rest of | /rest/ | n | the remaining part | phần còn lại | "The rest of the team" = những thành viên còn lại. "The rest of the sprint" = thời gian sprint còn lại. | The rest of the team continued while one member investigated.
vocab-valid | vocabulary | valid, validity | /ˈvælɪd/ | adj | based on good reasoning; officially acceptable | hợp lệ, có căn cứ | "A valid concern" = lo ngại có căn cứ — phải xử lý nghiêm túc, không gạt đi. | The stakeholder raised a valid concern about security.
vocab-extra | vocabulary | extra, extras | /ˈekstrə/ | adj | more than what is needed or usual | thêm, dư ra | "Extra features" chính là gold plating — một dạng lãng phí, làm thứ khách hàng không yêu cầu. | Extra features nobody asked for are pure waste.
vocab-exactly | exam-phrase | exactly, exact | /ɪɡˈzæktli/ | adv | precisely; without any difference | chính xác, đúng y | Nhấn độ chính xác tuyệt đối. Cẩn thận: ước lượng Agile cố tình KHÔNG exact — "roughly right beats precisely wrong". | Nobody can say exactly how long the work will take.
vocab-line | vocabulary | line, lines, in line with | /laɪn/ | n | a row or a mark; a direction of thinking | dòng, đường; hướng | Cụm "in line with" = phù hợp với, thống nhất với: "in line with the sprint goal". | The request was not in line with the sprint goal.
vocab-treat | vocabulary | treat, treats, treated, treating, treatment | /triːt/ | v | to deal with or behave towards someone in a certain way | đối xử; xử lý | "Treat people as…" và "treat the symptom" (chữa triệu chứng) — hai cách dùng đều hay gặp. | Treat each improvement as an experiment.
vocab-close | vocabulary | close, closes, closed, closing | /kloʊz/ | v | to end or shut something | đóng lại, kết thúc | Động từ /kloʊz/, tính từ "gần" /kloʊs/ — phát âm khác nhau. "Close collaboration" = hợp tác chặt chẽ. | Close collaboration with the customer beats a detailed contract.
vocab-yet | exam-phrase | yet, not yet, and yet | /jet/ | adv | up to now; but even so | chưa; tuy vậy | "Not yet done" = chưa xong (khác hẳn "sẽ không xong"). Cụm "and yet" đảo chiều lập luận. | The item is not yet done, so it earns no points.
vocab-suit | vocabulary | suit, suits, suited, suiting | /suːt/ | v | to be right or convenient for someone | phù hợp với | "Best suited to" = hợp nhất với. Kanban best suited to luồng việc liên tục; Scrum hợp với việc chia được thành sprint. | Kanban is best suited to continuous flows of work.
vocab-kind | exam-phrase | kind, kinds, kind of | /kaɪnd/ | n | a type or sort | loại, kiểu | "What kind of…" hỏi phân loại, tương đương "what type of". | What kind of impediment should be escalated?
vocab-upon | exam-phrase | upon, based upon, agreed upon | /əˈpɑːn/ | prep | on (formal) | trên, khi (trang trọng) | Trang trọng hơn "on". Cụm rất hay gặp: "agreed upon" = đã được thống nhất, "based upon" = dựa trên. | The team follows the agreed-upon working agreement.
vocab-actively | vocabulary | active, actively | /ˈæktɪvli/ | adv | in an energetic and involved way | một cách chủ động, tích cực | "Actively engage stakeholders" = chủ động lôi kéo bên liên quan tham gia, không ngồi chờ họ hỏi. | Actively engage stakeholders instead of waiting for complaints.
vocab-general | exam-phrase | general, generally, in general | /ˈdʒenrəl/ | adj | affecting most things; not detailed | chung, tổng quát | "In general" = nói chung — nêu quy luật chung, có thể có ngoại lệ trong tình huống cụ thể. | In general, shorter iterations reduce risk.
vocab-mobile | vocabulary | mobile, mobile app | /ˈmoʊbl/ | adj | able to be carried; relating to phones | di động | Bối cảnh sản phẩm phổ biến trong đề: nhóm phát triển mobile app. | The team is developing a mobile app for field workers.
vocab-site | vocabulary | site, sites, on-site | /saɪt/ | n | a place where work happens | địa điểm làm việc | "On-site customer" là practice của XP: khách hàng ngồi ngay tại chỗ với nhóm để trả lời câu hỏi tức thì. | XP asks for an on-site customer available to the team.
vocab-closely | vocabulary | closely, close collaboration | /ˈkloʊsli/ | adv | in a way that involves a lot of contact | chặt chẽ, sát sao | "Work closely with" = làm việc sát cánh với — cụm mô tả quan hệ nhóm với PO và khách hàng. | Developers work closely with the product owner every day.
vocab-burn | vocabulary | burn, burns, burned, burning, burn rate, burndown, burnup | /bɜːrn/ | v | to use up resources over time | tiêu hao dần | Gốc của burndown/burnup chart và "burn rate" (tốc độ tiêu ngân sách). | The burn rate shows how fast the budget is being consumed.
vocab-error | vocabulary | error, errors | /ˈerər/ | n | a mistake | lỗi, sai sót | Gần nghĩa defect/bug nhưng rộng hơn: có thể là lỗi con người, lỗi quy trình, không chỉ lỗi phần mềm. | Human error is usually a symptom of a bad process.
vocab-pick | vocabulary | pick, picks, picked, picking, pick up | /pɪk/ | v | to choose or take something | chọn, nhặt lấy | "Pick up an item" = nhận một việc từ board — hành vi tự tổ chức, nhóm tự kéo việc về. | Team members pick up the next item themselves.
vocab-digital | vocabulary | digital, digitally | /ˈdɪdʒɪtl/ | adj | using computers rather than physical objects | (thuộc) kỹ thuật số | "Digital board" tiện cho nhóm phân tán nhưng kém "physical board" ở khả năng kéo người ta nói chuyện. | A digital board is necessary for a distributed team.
vocab-setting | vocabulary | setting, settings, set up, sets up | /ˈsetɪŋ/ | n | the way something is arranged; the surroundings | thiết lập; bối cảnh | "Setting expectations" = định ra kỳ vọng từ đầu — cách phòng xung đột hiệu quả nhất với stakeholder. | Setting expectations early prevents disappointment later.
vocab-calculate | vocabulary | calculate, calculates, calculated, calculating, calculation | /ˈkælkjuleɪt/ | v | to work out an amount using numbers | tính toán | Hay gặp ở các câu tính EVM, velocity, cycle time. Đọc kỹ đơn vị trước khi tính. | Calculate the cost performance index from EV and AC.
vocab-really | exam-phrase | really, real, in reality | /ˈriːəli/ | adv | actually; truly | thật sự, thực ra | Tín hiệu đối chiếu giữa vẻ ngoài và sự thật: "what the customer really needs" = điều khách hàng THẬT SỰ cần. | Find out what the customer really needs, not what they first asked for.
vocab-video | vocabulary | video, videos, video call, video conference | /ˈvɪdioʊ/ | n | a recording of moving pictures | video, cuộc gọi hình | Với nhóm phân tán, video call là lựa chọn tốt thứ nhì sau face-to-face — tốt hơn hẳn email hay chat. | If face-to-face is impossible, a video call is the next best thing.
vocab-remember | vocabulary | remember, remembers, remembered, remembering | /rɪˈmembər/ | v | to keep something in your mind | nhớ | "Relearning" (phải học lại thứ đã quên) là một trong bảy loại lãng phí của Lean. | Undocumented decisions get forgotten and must be relearned.
vocab-positive | vocabulary | positive, positively | /ˈpɑːzətɪv/ | adj | good or helpful; greater than zero | tích cực; dương | Trong quản trị rủi ro: positive risk = opportunity (cơ hội), negative risk = threat (mối đe doạ). | A positive risk is an opportunity to be exploited.
vocab-problem-solving | vocabulary | problem-solving, problem solving | /ˈprɑːbləm ˌsɑːlvɪŋ/ | n | the skill of finding answers to difficult situations | kỹ năng giải quyết vấn đề | Nhóm tự tổ chức phải tự problem-solving; leader hỗ trợ chứ không giải hộ. | Coaching builds the team's own problem-solving ability.
vocab-risk-based | vocabulary | risk-based, risk-adjusted | /ˈrɪsk beɪst/ | adj | decided according to the level of risk | dựa trên rủi ro | "Risk-based prioritisation" = làm việc rủi ro cao trước để phát hiện vấn đề sớm khi còn rẻ. | Do the high-risk work early, while it is still cheap to fail.
vocab-spread | vocabulary | spread, spreads, spreading | /spred/ | v | to distribute over a wider area | dàn trải, lan ra | CẢNH BÁO: "spread across multiple projects" = bị chia cho nhiều dự án — nguyên nhân của context switching và năng suất kém. | Members spread across three projects finish nothing on time.
vocab-programmer | vocabulary | programmer, programmers | /ˈproʊɡræmər/ | n | a person who writes computer code | lập trình viên | Gần nghĩa developer nhưng hẹp hơn: programmer nhấn vào việc viết code. | Pair programming puts two programmers at one keyboard.
vocab-place-v | vocabulary | place, places, placed, placing, in place | /pleɪs/ | v | to put something somewhere | đặt, bố trí | Cụm "in place" = đã được thiết lập và đang hoạt động: "the WIP limit is in place". | The new working agreement is now in place.
vocab-hand | vocabulary | hand, hands, handed, handing, hand over, hands-on | /hænd/ | n | the part of the body; to give something over | tay; chuyển giao | "Hands-on" = trực tiếp bắt tay làm. "Hand over" = bàn giao — mỗi lần bàn giao là một điểm mất mát thông tin. | Every hand-off loses information and adds delay.
vocab-normal | vocabulary | normal, normally | /ˈnɔːrml/ | adj | usual or typical | bình thường | "Normal variation" trong dữ liệu là dao động tự nhiên — đừng phản ứng thái quá với một sprint bất thường. | A single low sprint may be normal variation, not a trend.
vocab-agility | vocabulary | agility | /əˈdʒɪləti/ | n | the ability to move and change direction quickly | tính linh hoạt, sự nhanh nhạy | Danh từ của agile. Định nghĩa chuẩn: khả năng ĐỔI HƯỚNG nhanh với chi phí thấp — không phải "làm nhanh". | Technical excellence is what makes agility possible.
vocab-insist | vocabulary | insist, insists, insisted, insisting | /ɪnˈsɪst/ | v | to demand something firmly and refuse to change | khăng khăng, nằng nặc đòi | TỪ CẢNH BÁO: "the stakeholder insists on…" báo hiệu xung đột cần thương lượng, không nên nhượng bộ ngay cũng không từ chối thẳng. | The sponsor insisted on a fixed scope and a fixed date.
vocab-database | vocabulary | database, databases | /ˈdeɪtəbeɪs/ | n | an organised store of data on a computer | cơ sở dữ liệu | Chi tiết kỹ thuật hay gặp khi đề mô tả dependency giữa các nhóm hoặc nợ kỹ thuật. | The team depended on another group for database changes.
vocab-research | vocabulary | research, researches, researching | /ˈriːsɜːrtʃ/ | n | careful study to discover facts | nghiên cứu, tìm hiểu | "User research" = tìm hiểu người dùng, cơ sở để viết persona và story đúng nhu cầu. | User research showed the real need was different.
vocab-pass | vocabulary | pass, passes, passed, passing | /pæs/ | v | to succeed in a test; to give to someone | vượt qua (bài kiểm tra); chuyển | "The tests pass" = các bài test chạy đạt — điều kiện của Definition of Done. | The story is done only when all tests pass.
vocab-decrease | vocabulary | decrease, decreases, decreased, decreasing | /dɪˈkriːs/ | v | to become smaller in amount | giảm xuống | Trái nghĩa increase. Velocity decrease vài sprint liên tiếp là tín hiệu cần điều tra, không phải để phạt nhóm. | A decreasing velocity deserves a conversation, not a punishment.
vocab-catch | vocabulary | catch, catches, caught, catching | /kætʃ/ | v | to find or stop something before it goes further | bắt được, phát hiện | Quá khứ bất quy tắc: caught. "Catch defects early" = bắt lỗi sớm, khi sửa còn rẻ. | Continuous integration catches defects within minutes.
vocab-checklist | vocabulary | checklist, checklists | /ˈtʃeklɪst/ | n | a list of things to check or do | danh sách kiểm tra | Definition of Done thực chất là một checklist mà mọi increment phải thoả mãn. | The definition of done works as the team's checklist.
vocab-happy | vocabulary | happy, happiness | /ˈhæpi/ | adj | feeling pleased | vui, hài lòng | "Team happiness" là một chỉ số sức khoẻ nhóm — đo bằng khảo sát ngắn mỗi sprint. | Track team happiness alongside velocity.
vocab-human | vocabulary | human, humans, human resources | /ˈhjuːmən/ | adj | relating to people | (thuộc) con người | "Human resources (HR)" — cảnh báo: đưa vấn đề nhóm lên HR quá sớm gần như luôn là đáp án SAI, hãy xử lý trong nhóm trước. | Referring the issue to HR before talking to the person is premature.
vocab-play | vocabulary | play, plays, played, playing | /pleɪ/ | v | to take part; to have a particular function | đóng (vai trò) | Cụm "play a role in" = đóng vai trò trong. Cũng gặp "planning poker" — một trò chơi ước lượng. | The scrum master plays a key role in removing impediments.
vocab-style | vocabulary | style, styles | /staɪl/ | n | a particular way of doing something | phong cách | "Leadership style" phải thay đổi theo mức trưởng thành của nhóm — đó là ý chính của situational leadership. | Adapt your leadership style to the team's maturity.
vocab-assist | vocabulary | assist, assists, assisted, assisting, assistance | /əˈsɪst/ | v | to help someone | hỗ trợ, giúp đỡ | Trang trọng hơn "help". Cũng là gốc của "assisted" — nhãn đánh dấu câu trả lời có dùng trợ giúp. | The coach assisted the team without solving the problem for them.
vocab-weekly | vocabulary | weekly | /ˈwiːkli/ | adj | happening once a week | hàng tuần | Nhóm từ chỉ nhịp lặp: daily standup, weekly report, quarterly planning. Đọc kỹ để không nhầm tần suất sự kiện. | The daily standup happens every day, not weekly.
vocab-drop | vocabulary | drop, drops, dropped, dropping | /drɑːp/ | v | to fall or reduce suddenly; to abandon | rơi, tụt; bỏ đi | "Velocity dropped" = velocity tụt. "Drop the item" = bỏ item khỏi sprint khi cần giảm scope. | Drop the lowest-value item rather than cutting testing.
vocab-fast | vocabulary | fast, faster, fastest | /fæst/ | adj | moving or happening quickly | nhanh | "Fail fast" = thất bại sớm để học rẻ — một trong những khẩu hiệu quan trọng nhất của Agile. | Fail fast, learn fast, and change direction cheaply.
vocab-health | vocabulary | health, healthy | /helθ/ | n | the general condition of something | sức khoẻ, tình trạng chung | "Team health" đo bằng khảo sát, quan trọng ngang các chỉ số giao hàng — nhóm kiệt sức thì mọi con số khác đều sụp. | A team health check reveals problems velocity hides.
vocab-exam | vocabulary | exam, exams, examination | /ɪɡˈzæm/ | n | a formal test of knowledge | kỳ thi | Từ của chính bối cảnh học: PMI-ACP exam. Cũng gặp "mock exam" (thi thử). | The PMI-ACP exam tests judgement, not memorisation.
vocab-desire | vocabulary | desire, desires, desired, desirable | /dɪˈzaɪər/ | n | a strong wish for something | mong muốn | "The desired outcome" = kết quả mong muốn — dùng để đối chiếu với kết quả thực tế. | Compare the desired outcome with what actually happened.
vocab-equally | exam-phrase | equally, equal | /ˈiːkwəli/ | adv | in the same way or amount | như nhau, ngang nhau | "Equally important" = quan trọng ngang nhau — cẩn thận, đề thường vẫn muốn bạn chọn ra MỘT thứ quan trọng nhất. | Both options are equally valid, so pick by cost of delay.
vocab-differ | vocabulary | differ, differs, differed, differing, difference, differences, different | /ˈdɪfər/ | v | to be unlike something else | khác nhau | "How does X differ from Y?" là dạng câu hỏi so sánh — phải nắm chính xác ranh giới giữa hai khái niệm. | How does incremental delivery differ from iterative delivery?
vocab-interface | vocabulary | interface, interfaces, ui, user interface | /ˈɪntərfeɪs/ | n | the point where two systems or a user and a system meet | giao diện | "User interface (UI)" là thứ người dùng nhìn thấy; wireframe dùng để thử UI trước khi code. | The wireframe tested the interface before any code was written.
vocab-remind | vocabulary | remind, reminds, reminded, reminding, reminder | /rɪˈmaɪnd/ | v | to make someone remember something | nhắc nhở | Hành động nhẹ nhàng của Scrum Master: remind the team về working agreement thay vì áp đặt. | The scrum master reminded the team of its own agreement.
vocab-whose | exam-phrase | whose | /huːz/ | pron | belonging to which person | của ai | Đại từ quan hệ chỉ sở hữu: "the stakeholder whose approval is needed" = bên liên quan mà cần chữ ký của họ. | The team whose velocity is stable can forecast reliably.
vocab-greater | exam-phrase | greater, greatest, more than | /ˈɡreɪtər/ | adj | larger in amount or importance | lớn hơn | So sánh hơn của great. "Greater visibility" = mức minh bạch cao hơn. | Smaller batches give greater visibility into progress.
vocab-conference | vocabulary | conference, conferences, conference call | /ˈkɑːnfrəns/ | n | a formal meeting, often large or remote | hội nghị, cuộc gọi hội nghị | Với nhóm phân tán, conference call là phương án thay thế khi không gặp mặt được. | A conference call is weaker than being in the same room.
vocab-mark | vocabulary | mark, marks, marked, marking | /mɑːrk/ | v | to show or label something | đánh dấu | "Mark the item as done" = đánh dấu hoàn thành — chỉ được làm khi đã đạt Definition of Done. | Do not mark an item done until it meets the definition of done.
vocab-phone | vocabulary | phone, phones, phone call | /foʊn/ | n | a device for speaking to someone at a distance | điện thoại | Trong thang hiệu quả giao tiếp: face-to-face > video > phone > chat > email. | A phone call beats a long email thread.
vocab-cloud | vocabulary | cloud, cloud-based | /klaʊd/ | adj | running on remote internet servers | (thuộc) điện toán đám mây | Bối cảnh kỹ thuật hay gặp: chuyển hệ thống lên cloud là dự án nhiều điều chưa biết, hợp với cách làm adaptive. | Migrating to the cloud is high-uncertainty work.
vocab-enter | vocabulary | enter, enters, entered, entering, entry | /ˈentər/ | v | to go into a place or state | đi vào, bước vào | "Enter the storming stage" = nhóm bước vào giai đoạn xung đột của mô hình Tuckman. | After the honeymoon, the team entered the storming stage.
vocab-split | vocabulary | split, splits, splitting, story splitting | /splɪt/ | v | to divide something into parts | chia tách | "Story splitting" là kỹ năng cốt lõi: chia story to thành lát nhỏ mà mỗi lát vẫn có giá trị riêng. | Split the story vertically so each slice still delivers value.
vocab-fund | vocabulary | fund, funds, funding, funded | /fʌnd/ | n | money available for a purpose | quỹ, kinh phí | "Incremental funding" = cấp vốn theo từng đợt dựa trên kết quả — cách tài trợ hợp với Agile hơn cấp một lần. | Incremental funding lets the sponsor stop early if value is low.
vocab-anyone | exam-phrase | anyone, anybody | /ˈeniwʌn/ | pron | any person | bất kỳ ai | "Anyone can see the board" thể hiện transparency. "No one raised the issue" là dấu hiệu thiếu an toàn tâm lý. | No one raised the risk until it was too late.
vocab-mix | vocabulary | mix, mixes, mixed, mixing, mixture | /mɪks/ | v | to combine different things | trộn, kết hợp | "A mix of approaches" chính là hybrid — kết hợp predictive và adaptive cho phù hợp bối cảnh. | A mix of predictive and adaptive practices is often pragmatic.
vocab-unsure | vocabulary | unsure, not sure | /ˌʌnˈʃʊr/ | adj | not confident or certain | không chắc chắn | "The team is unsure how to…" báo hiệu cần spike, cần coaching, hoặc cần hỏi chuyên gia. | When the team is unsure, run a spike instead of guessing.
