# Thẻ từ vựng BỔ SUNG — nhóm 2: từ vựng tần suất trung bình + thuật ngữ chuyên môn còn thiếu.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-formal | vocabulary | formal, formally, informal, informally | /ˈfɔːrml/ | adj | following official rules and procedures | chính thức, trang trọng | Cặp đối chiếu hay gặp: formal process (quy trình chính thức, nhiều giấy tờ) vs informal conversation (trao đổi thân mật). Agile ưu tiên vế sau khi có thể. | An informal conversation often resolves the issue faster than a formal change request.
vocab-rigid | vocabulary | rigid, rigidly, rigidity | /ˈrɪdʒɪd/ | adj | fixed and unable to be changed; inflexible | cứng nhắc, không linh hoạt | Từ mang sắc thái TIÊU CỰC trong đề. Đáp án chứa "rigid process" hoặc "rigid plan" gần như luôn sai. | A rigid plan cannot absorb what the team learns during the sprint.
vocab-manual | vocabulary | manual, manually | /ˈmænjuəl/ | adj | done by hand rather than automatically | thủ công, làm tay | Đối lập automated. Manual regression testing lặp lại là dạng lãng phí nên tự động hóa. | Repetitive manual testing is a strong candidate for automation.
vocab-nature | vocabulary | nature | /ˈneɪtʃər/ | n | the essential character or type of something | bản chất | Cụm hay gặp: "the iterative nature of the work" = bản chất lặp của công việc. | The exploratory nature of the work makes fixed-scope contracts risky.
vocab-highlight | vocabulary | highlight, highlights, highlighted, highlighting | /ˈhaɪlaɪt/ | v | to draw attention to something important | làm nổi bật, nhấn mạnh | Hay gặp khi mô tả biểu đồ: "the chart highlights the bottleneck" = biểu đồ làm lộ rõ điểm nghẽn. | The cumulative flow diagram highlighted a bottleneck in code review.
vocab-propose | vocabulary | propose, proposes, proposed, proposing, proposal | /prəˈpoʊz/ | v | to formally suggest a plan or idea for consideration | đề xuất (chính thức) | Trang trọng hơn suggest. "Propose an experiment" là hành động đúng sau khi tìm ra nguyên nhân gốc. | The team proposed an experiment to shorten the review queue.
vocab-long-term | vocabulary | long-term, long term, short-term, short term | /ˌlɔːŋ ˈtɜːrm/ | adj | relating to a distant future rather than the immediate one | dài hạn (đối lập ngắn hạn) | Cặp đối chiếu quan trọng: technical debt mua tốc độ SHORT-TERM nhưng trả giá LONG-TERM. | Skipping tests is a short-term gain and a long-term cost.
vocab-guidance | vocabulary | guidance, guide, guides, guided, guiding | /ˈɡaɪdns/ | n | advice and direction given to help someone act | sự hướng dẫn, chỉ dẫn | Nhẹ hơn "instruction" (chỉ thị). Coach cung cấp guidance, không ra lệnh. | The coach offered guidance but let the team choose its own solution.
vocab-vary | vocabulary | vary, varies, varied, varying, various, variation, variability | /ˈveri/ | v | to be different in different situations or over time | thay đổi, biến thiên | "Variability" (mức dao động) là kẻ thù của khả năng dự báo. Story size dao động lớn thì velocity mất ổn định. | High variability in story size makes forecasting unreliable.
vocab-background | vocabulary | background, backgrounds | /ˈbækɡraʊnd/ | n | a person's past experience and training, or the context of a situation | nền tảng, bối cảnh | "Diverse backgrounds" trong nhóm tạo ra góc nhìn đa dạng, giảm groupthink. | Team members with diverse backgrounds reduce the risk of groupthink.
vocab-roadblock | vocabulary | roadblock, roadblocks, blocker, blockers, blocked | /ˈroʊdblɑːk/ | n | something that stops progress completely | rào cản, vật cản đường | Đồng nghĩa thân mật của "impediment". "Blocked" trên board nghĩa là item không đi tiếp được. | The dependency became a roadblock for the entire release.
vocab-manner | vocabulary | manner | /ˈmænər/ | n | the way in which something is done | cách thức | Cụm trang trọng: "in a timely manner" (kịp thời), "in a professional manner" (chuyên nghiệp). | Impediments must be removed in a timely manner.
vocab-threat | vocabulary | threat, threats, threaten, threatens, threatened | /θret/ | n | a risk with a negative effect if it occurs | rủi ro tiêu cực, mối đe dọa | Một nửa của khái niệm risk (nửa kia là opportunity). Bốn chiến lược ứng phó: avoid, transfer, mitigate, accept. | Threats can be avoided, transferred, mitigated or accepted.
vocab-investigate | vocabulary | investigate, investigates, investigated, investigating, investigation | /ɪnˈvestɪɡeɪt/ | v | to examine something carefully to discover the truth | điều tra, tìm hiểu kỹ | Hành động đúng khi chưa đủ thông tin: "investigate the root cause" thay vì hành động vội. | Investigate the root cause before changing the process.
vocab-suffer | vocabulary | suffer, suffers, suffered, suffering | /ˈsʌfər/ | v | to be harmed or made worse by something | chịu thiệt hại, bị ảnh hưởng xấu | Hay gặp: "quality suffers when the team is rushed" = chất lượng bị ảnh hưởng khi nhóm bị hối. | Quality suffers whenever the team is pressured to cut testing.
vocab-broader | vocabulary | broader, broad, broadly, breadth | /ˈbrɔːdər/ | adj | wider in range; covering more | rộng hơn | "The broader organisation" = phần còn lại của tổ chức ngoài nhóm. Systems thinking đòi hỏi nhìn broader. | Local improvements must be checked against the broader system.
vocab-embrace | vocabulary | embrace, embraces, embraced, embracing | /ɪmˈbreɪs/ | v | to accept something willingly and enthusiastically | đón nhận, sẵn sàng chấp nhận | Cụm nổi tiếng: "embrace change" — coi thay đổi là cơ hội thay vì mối đe dọa. Nguyên tắc Agile số 2. | Welcome changing requirements — agile processes embrace change.
vocab-collectively | vocabulary | collectively, collective | /kəˈlektɪvli/ | adv | as a group, together, rather than individually | một cách tập thể | Đối lập "individually". Nhóm Agile chịu trách nhiệm COLLECTIVELY về sprint goal, không chia trách nhiệm theo cá nhân. | The team is collectively accountable for the sprint goal.
vocab-fundamental | vocabulary | fundamental, fundamentally, fundamentals | /ˌfʌndəˈmentl/ | adj | forming the essential base of something | nền tảng, cơ bản nhất | Đồng nghĩa: basic, core, underlying. "A fundamental change" = thay đổi tận gốc, không phải điều chỉnh nhỏ. | Moving to agile is a fundamental change in how decisions are made.
vocab-employ | vocabulary | employ, employs, employed, employing | /ɪmˈplɔɪ/ | v | to make use of a method or technique | sử dụng, vận dụng | Ngoài nghĩa "thuê người", employ còn nghĩa DÙNG một kỹ thuật — nghĩa này hay gặp trong văn phong đề. | The team employed planning poker to surface hidden assumptions.
vocab-decomposition | vocabulary | decomposition, decompose, decomposed, decomposing, break down, breaking down, broken down | /ˌdiːkɑːmpəˈzɪʃn/ | n | the act of splitting a large item into smaller parts | sự phân rã, chia nhỏ | Kỹ năng cốt lõi: epic → feature → story → task. Item quá lớn thì không thể ước lượng hay hoàn thành trong một sprint. | Decomposing the epic revealed a much smaller valuable first slice.
vocab-privately | vocabulary | privately, private, in private | /ˈpraɪvətli/ | adv | in a situation where other people are not present | riêng tư, kín đáo | QUY TẮC VÀNG khi xử lý hành vi cá nhân: "praise in public, coach in private" — góp ý cá nhân phải nói riêng. | Address the individual's behaviour privately, not in front of the team.
vocab-openly | vocabulary | openly, open, openness | /ˈoʊpənli/ | adv | without hiding anything; honestly and transparently | công khai, thẳng thắn | Gắn với transparency và psychological safety: nhóm phải dám nói openly về vấn đề. | The team discussed the failure openly instead of hiding it.
vocab-awareness | vocabulary | awareness, self-awareness | /əˈwernəs/ | n | knowledge or perception of a situation or fact | sự nhận thức, ý thức | "Self-awareness" là thành tố đầu tiên của emotional intelligence — nhận biết cảm xúc của chính mình. | Self-awareness is the foundation of emotional intelligence.
vocab-predict | vocabulary | predictability, predictable, unpredictable | /prɪˈdɪktəbɪləti/ | n | the degree to which future results can be foreseen | tính dự báo được | Mục tiêu thật của việc đo velocity/cycle time là tăng PREDICTABILITY, không phải tăng tốc độ. | Stable flow improves predictability more than working faster does.
vocab-fulfill | vocabulary | fulfill, fulfills, fulfilled, fulfilling, fulfil, fulfilment | /fʊlˈfɪl/ | v | to do what is required, promised or expected | hoàn thành, đáp ứng (yêu cầu) | Hay gặp: "fulfill the definition of done", "fulfill the customer's need". | The increment must fulfil the definition of done before it can be shown.
vocab-perspective | vocabulary | perspective, perspectives | /pərˈspektɪv/ | n | a particular way of viewing a situation | góc nhìn, quan điểm | "From the customer's perspective" = nhìn từ phía khách hàng — cách viết user story chính là ép ta đổi perspective. | Write the story from the user's perspective, not the developer's.
vocab-culture | vocabulary | culture, cultural, culturally | /ˈkʌltʃər/ | n | the shared values and habits that shape how a group behaves | văn hóa (tổ chức) | Thay đổi văn hóa khó hơn thay đổi quy trình rất nhiều. "Culture eats strategy for breakfast" là câu nói quen thuộc. | Adopting the ceremonies without changing the culture produces agile in name only.
vocab-simultaneously | vocabulary | simultaneously, simultaneous | /ˌsaɪmlˈteɪniəsli/ | adv | at the same time | đồng thời, cùng lúc | Trong planning poker, mọi người lật bài SIMULTANEOUSLY để tránh bị neo theo ý người nói trước. | Everyone reveals their card simultaneously to avoid anchoring.
vocab-kick-off | vocabulary | kick-off, kickoff, kick off | /ˈkɪk ɔːf/ | n | the meeting that formally starts a project or release | buổi khởi động | Nơi thống nhất mục tiêu, phạm vi và cách làm việc trước khi bắt đầu. | The release kick-off aligned everyone on the goal and the constraints.
vocab-inspect | vocabulary | inspect, inspects, inspected, inspecting | /ɪnˈspekt/ | v | to examine something carefully to judge its condition | kiểm tra, xem xét | Nửa đầu của cặp "inspect and adapt" — trụ cột của empirical process control. | The team inspects the increment and adapts the plan at every review.
