# Thẻ từ vựng BỔ SUNG — nhóm 3: cụm từ, phrasal verb và mẫu câu hay gặp trong đề thi.
# Đây là nhóm gây khó nhất cho người học vì nghĩa của cụm KHÔNG suy ra được từ nghĩa từng từ.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

phrase-in-terms-of | exam-phrase | in terms of | /ɪn ˈtɜːrmz əv/ | phr | with regard to a particular aspect | xét về mặt, về phương diện | Khoanh vùng góc nhìn đang bàn: "in terms of value" = xét riêng về mặt giá trị, không xét mặt khác. | In terms of value, the smaller story should be delivered first.
phrase-rule-out | exam-phrase | rule out, rules out, ruled out, ruling out | /ruːl aʊt/ | phr | to eliminate something as a possibility | loại trừ (khả năng) | Kỹ thuật làm bài quan trọng: rule out các đáp án sai rõ ràng trước, rồi so hai đáp án còn lại. | The spike ruled out the third-party library as an option.
phrase-wrap-up | exam-phrase | wrap up, wraps up, wrapped up, wrapping up | /ræp ʌp/ | phr | to finish or conclude something | kết thúc, chốt lại | Hay gặp cuối cuộc họp: "wrap up the retrospective with clear action items". | Wrap up the retrospective with one improvement the team will actually try.
phrase-on-the-same-page | exam-phrase | on the same page | /ɑːn ðə seɪm peɪdʒ/ | phr | having the same understanding of a situation | cùng chung một cách hiểu | Mục tiêu của alignment. "Get everyone on the same page" = làm cho mọi người hiểu giống nhau. | The demo got everyone on the same page about what "done" means.
phrase-in-the-long-run | exam-phrase | in the long run, in the long term | /ɪn ðə lɔːŋ rʌn/ | phr | over an extended period, considering final results | về lâu về dài | Dùng khi so sánh cái lợi trước mắt với cái giá phải trả sau này — lập luận điển hình về technical debt. | Skipping refactoring saves an hour now and costs a week in the long run.
phrase-up-to-date | exam-phrase | up to date, up-to-date, outdated, out of date | /ˌʌp tə ˈdeɪt/ | adj | containing the latest information | cập nhật, mới nhất | Board hoặc chart không up to date thì mất hoàn toàn giá trị transparency. | An out-of-date board is worse than no board at all.
phrase-from-scratch | exam-phrase | from scratch | /frʌm skrætʃ/ | phr | from the very beginning, using nothing that existed before | từ đầu, làm lại từ con số không | Hay gặp khi bàn về rewrite: "rebuild the system from scratch" thường là quyết định rủi ro cao. | Rewriting the system from scratch is rarely the lowest-risk option.
phrase-on-hold | exam-phrase | on hold, put on hold | /ɑːn hoʊld/ | phr | temporarily stopped, waiting to be resumed | tạm dừng, treo lại | Item "on hold" trên board là công việc dở dang — một dạng lãng phí trong Lean. | Three items sat on hold, waiting for an external approval.
phrase-at-stake | exam-phrase | at stake | /ət steɪk/ | phr | at risk of being lost; depending on the outcome | đang bị đe dọa, phụ thuộc vào kết quả | Nhấn mức độ nghiêm trọng: "with the release date at stake" = hạn phát hành đang bị đe dọa. | With the customer relationship at stake, transparency matters more than optimism.
phrase-at-odds-with | exam-phrase | at odds with | /ət ɑːdz wɪð/ | phr | in conflict or disagreement with | mâu thuẫn với, xung khắc với | Trang trọng, hay gặp: "the request is at odds with the sprint goal". | The new request was at odds with the agreed sprint goal.
phrase-buy-into | exam-phrase | buy into, buys into, bought into | /baɪ ˈɪntuː/ | phr | to accept and support an idea genuinely | thật sự tin và ủng hộ | Khác "comply" (chỉ tuân thủ hình thức). Người buy into thì tự nguyện làm, không cần ép. | Until the team buys into the practice, it will only go through the motions.
phrase-go-through-the-motions | exam-phrase | go through the motions, going through the motions | /ɡoʊ θruː ðə ˈmoʊʃnz/ | phr | to do something mechanically, without real engagement | làm cho có, làm hình thức | Mô tả "agile in name only": nhóm vẫn họp đủ nghi thức nhưng không còn giá trị thật. | The team was going through the motions of a retrospective without changing anything.
phrase-in-place-of | exam-phrase | in place of | /ɪn pleɪs əv/ | phr | instead of; as a substitute for | thay cho, thay thế | Đồng nghĩa instead of / rather than. Đánh dấu sự THAY THẾ giữa hai lựa chọn. | The team used a physical board in place of the digital tool.
phrase-along-with | exam-phrase | along with | /əˈlɔːŋ wɪð/ | phr | together with; in addition to | cùng với, kèm theo | Cụm bổ sung. Chú ý: động từ chia theo chủ ngữ CHÍNH, không theo phần sau "along with". | The product owner, along with two stakeholders, attends the review.
phrase-based-on | exam-phrase | based on, is based on | /beɪst ɑːn/ | phr | using something as the foundation for a decision | dựa trên | Rất hay gặp: "based on the data / on historical velocity". Dấu hiệu cho biết CĂN CỨ của quyết định. | The forecast is based on the last six sprints of throughput.
phrase-in-response-to | exam-phrase | in response to | /ɪn rɪˈspɑːns tuː/ | phr | as a reaction to something that happened | để đáp lại, phản ứng trước | Nối nguyên nhân với hành động: "in response to the feedback, the team…". | In response to the feedback, the team reordered the backlog.
phrase-with-a-view-to | exam-phrase | with a view to, with the aim of | /wɪð ə vjuː tuː/ | phr | with the intention of achieving something | nhằm mục đích | Trang trọng, đánh dấu MỤC ĐÍCH. Sau "with a view to" dùng V-ing. | The spike was run with a view to reducing technical uncertainty.
phrase-to-what-extent | exam-phrase | to what extent, to the extent that | /tə wɑːt ɪkˈstent/ | phr | how much or how far something is true | tới mức độ nào | Câu hỏi hỏi MỨC ĐỘ, không hỏi có/không. Đáp án đúng thường là đáp án có định lượng. | To what extent should the team involve the customer in refinement?
phrase-all-of-the-following-except | exam-phrase | all of the following except, all of the following are, except | /ɔːl əv ðə ˈfɑːloʊɪŋ ɪkˈsept/ | phr | asks you to find the one item that does NOT belong | tất cả các ý sau NGOẠI TRỪ | DẠNG CÂU HỎI PHỦ ĐỊNH — bẫy hay nhất của đề thi. Bạn phải tìm đáp án SAI, không phải đáp án đúng. Đọc kỹ chữ EXCEPT. | All of the following are Scrum artifacts EXCEPT the sprint goal.
phrase-which-is-not | exam-phrase | which is not, which of the following is not, is least likely | /wɪtʃ ɪz nɑːt/ | phr | asks for the option that does not fit | ý nào KHÔNG phải | Cùng họ với "except". Khi thấy NOT/LEAST/EXCEPT viết hoa, hãy đảo ngược cách chọn. | Which of the following is NOT a responsibility of the product owner?
phrase-what-should-the-team-do-next | exam-phrase | what should the team do next, what should the team do first, do first | /wɑːt ʃʊd ðə tiːm duː nekst/ | phr | asks for the immediate next action, not the eventual solution | nhóm nên làm gì TIẾP THEO | Chú ý chữ NEXT/FIRST: nhiều đáp án đều đúng về lâu dài, nhưng chỉ MỘT đáp án đúng cho bước NGAY BÂY GIỜ. | What should the scrum master do FIRST when this conflict arises?
phrase-most-appropriate | exam-phrase | most appropriate, best describes, best course of action | /moʊst əˈproʊpriət/ | phr | asks for the single best fit among several defensible options | phù hợp NHẤT | PMI-ACP hiếm khi có đáp án sai hoàn toàn — bạn phải chọn cái TỐT NHẤT trong bối cảnh đã cho. | Which is the most appropriate response in this particular situation?
phrase-would-be-the-result | exam-phrase | what would be the result, what is the likely outcome, what will happen | /wʊd biː ðə rɪˈzʌlt/ | phr | asks you to predict the consequence of the described action | kết quả sẽ là gì | Dạng câu hỏi hệ quả: đọc kỹ hành động trong đề rồi suy ra hậu quả trực tiếp của nó. | What would be the likely result of extending the sprint by a week?
phrase-primary-responsibility | exam-phrase | primary responsibility, is accountable for, who is responsible | /ˈpraɪmeri rɪˌspɑːnsəˈbɪləti/ | phr | asks which role owns a particular outcome | trách nhiệm CHÍNH thuộc về ai | Dạng câu hỏi vai trò: phải nhớ chính xác ranh giới trách nhiệm của PO, SM và Developers. | Who has the primary responsibility for the order of the product backlog?
phrase-in-this-scenario | exam-phrase | in this scenario, in this situation, given this situation | /ɪn ðɪs səˈnærioʊ/ | phr | restricts the answer to the circumstances just described | trong tình huống này | Nhắc bạn KHÔNG được thêm giả định ngoài đề. Chỉ dùng đúng những dữ kiện đã cho. | In this scenario, what is the best next step for the team?
