# Thẻ BỔ SUNG cho người học A1 — nhóm tần suất CAO NHẤT (xuất hiện >= 60 câu) còn thiếu thẻ.
# Chọn từ data/candidates-a1.txt: mốc lọc chỉ còn ~350 từ lõi A1, nên những từ như "customer",
# "avoid", "require", "situation" — người A1 thật sự chưa biết — nay đều được soạn thẻ.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn

vocab-member | vocabulary | member, members, member's, members' | /ˈmembər/ | n | a person belonging to a group | thành viên | "Team member" = thành viên nhóm — cụm xuất hiện nhiều nhất trong toàn bộ đề thi. | Every team member shares responsibility for quality.
vocab-activity | vocabulary | activity, activities | /ækˈtɪvəti/ | n | something that is done | hoạt động | Cảnh báo Lean: đo "activity" (bận rộn) không bằng đo "outcome" (kết quả). Nhóm bận không có nghĩa là tạo ra giá trị. | Busy activity is not the same as delivered value.
vocab-until | exam-phrase | until, till | /ənˈtɪl/ | prep | up to the point when | cho đến khi | Mốc thời gian kết thúc. Cụm quan trọng: "defer the decision until the last responsible moment". | Wait until the spike gives you an answer.
vocab-choice | vocabulary | choice, choices, choose, chooses, chose, chosen, choosing | /tʃɔɪs/ | n | an act of picking one thing from several | sự lựa chọn | Quá khứ bất quy tắc: choose → chose → chosen. Trong đề, "choices" cũng chỉ bốn đáp án A/B/C/D. | The team chose the simplest option that could work.
vocab-support | vocabulary | support, supports, supported, supporting, supportive | /səˈpɔːrt/ | v | to help someone and give them what they need | hỗ trợ | Cốt lõi của servant leadership: leader SUPPORT nhóm chứ không chỉ huy nhóm. | A servant leader supports the team and removes its obstacles.
vocab-wrong | vocabulary | wrong, wrongly | /rɔːŋ/ | adj | not correct | sai | Trái nghĩa của correct/right. Cụm hay gặp: "build the wrong thing" = làm ra sản phẩm sai nhu cầu — rủi ro lớn nhất mà feedback sớm giúp tránh. | Frequent feedback stops the team building the wrong thing.
vocab-company | vocabulary | company, companies, company's | /ˈkʌmpəni/ | n | a business organisation | công ty | Ngữ cảnh rộng hơn "team": nhiều tình huống trong đề là xung đột giữa nhóm và cấp công ty. | The company adopted agile across all its departments.
vocab-learn | vocabulary | learn, learns, learned, learnt, learning | /lɜːrn/ | v | to gain knowledge or skill | học, rút ra được | Cốt lõi của Agile: mỗi vòng lặp là một lần LEARN. "Lessons learned", "learning organisation", "fail fast to learn fast". | Each iteration is a chance to learn and adjust.
vocab-well | exam-phrase | well, as well as, as well | /wel/ | adv | in a good way; also | tốt; cũng như | Cụm "as well as" = "cũng như, đồng thời" — nối thêm ý, dễ bị đọc sót khiến bỏ mất một vế của câu hỏi. | The scrum master coaches the team as well as the organisation.
vocab-explain | vocabulary | explain, explains, explained, explaining, explanation | /ɪkˈspleɪn/ | v | to make something clear to someone | giải thích | Phần "GIẢI THÍCH" sau mỗi câu chính là explanation. Trong tình huống: "explain the impact to the stakeholder" là hành động đúng. | Explain the trade-off to the stakeholder instead of just refusing.
vocab-share | vocabulary | share, shares, shared, sharing | /ʃer/ | v | to have or use something together with others | chia sẻ, dùng chung | "Shared understanding" và "shared responsibility" là hai cụm cốt lõi của nhóm Agile. | The whole team shares responsibility for the sprint goal.
vocab-mean | vocabulary | mean, meant, meaning | /miːn/ | v | to have as a meaning; to intend | có nghĩa là; định | Quá khứ bất quy tắc: meant. "This means that…" mở đầu phần diễn giải hệ quả trong lời giải thích. | A lower velocity does not mean the team is lazy.
vocab-finish | vocabulary | finish, finishes, finished, finishing | /ˈfɪnɪʃ/ | v | to complete something | hoàn thành, làm xong | Khẩu quyết Lean: "stop starting, START FINISHING" — ưu tiên làm XONG việc đang dở thay vì mở thêm việc mới. | Stop starting and start finishing.
vocab-directly | vocabulary | directly | /dəˈrektli/ | adv | without anything or anyone in between | trực tiếp | Cảnh báo: stakeholder giao việc "directly" cho lập trình viên là hành vi cần xử lý — phải đi qua Product Owner. | A stakeholder asked a developer directly, bypassing the product owner.
vocab-experience | vocabulary | experience, experiences, experienced, experiencing | /ɪkˈspɪriəns/ | n | knowledge gained by doing something | kinh nghiệm; trải nghiệm | Hai nghĩa: kinh nghiệm (an experienced developer) và trải nghiệm (user experience). | An experienced team still needs a retrospective.
vocab-per | exam-phrase | per, as per | /pɜːr/ | prep | for each | mỗi, trên mỗi | Đơn vị tỉ lệ: "story points per sprint", "defects per release". Cụm "as per" = "theo như" (theo quy định, theo kế hoạch). | Velocity is measured in story points per sprint.
vocab-fix | vocabulary | fix, fixes, fixed, fixing | /fɪks/ | v | to repair; or to set something so it cannot change | sửa chữa; cố định | HAI nghĩa quan trọng: (1) sửa lỗi — fix the bug; (2) CỐ ĐỊNH — "fixed scope", "fixed price", "the sprint length is fixed". | In Scrum the sprint length is fixed; the scope is not.
vocab-report | vocabulary | report, reports, reported, reporting | /rɪˈpɔːrt/ | v | to give an account of something to someone | báo cáo | CẢNH BÁO: daily standup KHÔNG phải "status report" cho quản lý — biến nó thành báo cáo là sai lệch mục đích. | The standup is not a status report to the manager.
vocab-still | exam-phrase | still | /stɪl/ | adv | continuing up to now; even so | vẫn, vẫn còn | Chỉ điều CHƯA thay đổi dù đã có tác động: "the impediment is still blocking the team". | After two sprints the dependency was still unresolved.
vocab-amount | vocabulary | amount, amounts | /əˈmaʊnt/ | n | how much of something there is | lượng, số lượng | Dùng với danh từ KHÔNG đếm được (amount of work); với đếm được thì dùng "number of" (number of items). | Simplicity means maximising the amount of work not done.
vocab-continue | vocabulary | continue, continues, continued, continuing | /kənˈtɪnjuː/ | v | to keep happening or doing something | tiếp tục | Ba câu hỏi kinh điển của retrospective: start / stop / CONTINUE — cái gì nên làm tiếp. | Ask what to start, stop and continue doing.
vocab-success | vocabulary | success, successes, successful, successfully | /səkˈses/ | n | the achievement of what was aimed for | thành công | "Critical success factor" = yếu tố quyết định thành bại. Trong Agile, success đo bằng giá trị giao được, không bằng bám sát kế hoạch. | Success means delivered value, not a followed plan.
vocab-across | exam-phrase | across | /əˈkrɔːs/ | prep | from one side to another; throughout | xuyên suốt, khắp | "Across teams" = giữa/khắp các nhóm — tín hiệu câu hỏi đang nói tới bối cảnh nhiều nhóm (scaling). | Coordinating across teams requires explicit dependency management.
vocab-manage | vocabulary | manage, manages, managed, managing, management | /ˈmænɪdʒ/ | v | to control or organise something | quản lý; xoay xở được | Trong Agile, ta "manage the work" chứ không "manage the people" — nhóm tự tổ chức. Điểm này hay bị hỏi. | Manage the flow of work, not the individuals doing it.
vocab-among | exam-phrase | among, amongst | /əˈmʌŋ/ | prep | in the middle of a group of three or more | giữa (nhiều đối tượng) | Khác "between" (giữa HAI đối tượng). "Among the team members" = trong số các thành viên. | Trust among team members takes time to build.
vocab-several | vocabulary | several | /ˈsevrəl/ | adj | more than two but not many | một vài, vài ba | Trung gian giữa "a few" và "many". "Several sprints" = vài sprint — đủ dài để nhìn ra xu hướng velocity. | Look at the trend over several sprints.
vocab-cause | vocabulary | cause, causes, caused, causing | /kɔːz/ | n | the thing that makes something happen | nguyên nhân | "Root cause" = nguyên nhân GỐC. Sửa cause thì hết bệnh; sửa symptom thì bệnh quay lại. | Find the cause, not just the symptom.
vocab-reason | vocabulary | reason, reasons, reasoning | /ˈriːzn/ | n | the explanation for why something happens | lý do | "The reason for" hoặc "the reason why". Câu hỏi "what is the main reason…" hỏi lý do CHÍNH, chỉ một. | What is the main reason for limiting work in progress?
vocab-define | vocabulary | define, defines, defined, defining, definition | /dɪˈfaɪn/ | v | to state exactly what something means | định nghĩa, xác định rõ | Gốc của "Definition of Done" và "Definition of Ready" — hai thoả thuận phải được ĐỊNH NGHĨA rõ trước khi dùng. | The team defined what "done" actually means.
vocab-area | vocabulary | area, areas | /ˈeriə/ | n | a part or aspect of something | lĩnh vực, mảng | "Areas for improvement" = những mảng cần cải thiện — cách nói lịch sự cho điểm yếu, hay gặp ở retrospective. | The retrospective surfaced three areas for improvement.
vocab-decide | vocabulary | decide, decides, decided, deciding, decision, decisions, decision-making | /dɪˈsaɪd/ | v | to choose after thinking | quyết định | Ai quyết cái gì là câu hỏi cốt lõi: PO quyết LÀM GÌ, nhóm quyết LÀM THẾ NÀO. Nhớ ranh giới này. | The product owner decides what; the team decides how.
vocab-remove | vocabulary | remove, removes, removed, removing, removal | /rɪˈmuːv/ | v | to take something away | loại bỏ, gỡ bỏ | Nhiệm vụ đặc trưng của Scrum Master: "remove impediments" — gỡ bỏ trở ngại cho nhóm. | The scrum master removes impediments the team cannot.
vocab-common | vocabulary | common, commonly | /ˈkɑːmən/ | adj | happening often; shared by many | phổ biến; chung | Hai nghĩa: thường gặp (a common mistake) và chung (a common goal). "Common understanding" = cách hiểu chung. | A common goal binds the team together.
vocab-list | vocabulary | list, lists, listed, listing | /lɪst/ | n | a series of items written one after another | danh sách | Product backlog chính là một "ordered list" — danh sách CÓ THỨ TỰ, không phải đống việc lộn xộn. | The backlog is an ordered list, not a wish list.
vocab-communicate | vocabulary | communicate, communicates, communicated, communicating, communication | /kəˈmjuːnɪkeɪt/ | v | to share information with someone | giao tiếp, truyền đạt | Cách hiệu quả nhất theo nguyên tắc Agile số 6 là face-to-face. Communication là chủ đề lớn của domain Leadership. | Face-to-face is the most efficient way to communicate.
vocab-status | vocabulary | status, statuses | /ˈsteɪtəs/ | n | the current state of something | trạng thái, tình trạng | "Status meeting" mang nghĩa TIÊU CỰC trong đề: standup biến thành status meeting là dấu hiệu sai. | The standup had degenerated into a status meeting.
vocab-wait | vocabulary | wait, waits, waited, waiting | /weɪt/ | v | to stay until something happens | chờ, đợi | "Waiting" là một trong bảy loại lãng phí của Lean. Hàng đợi dài = nhiều thời gian chờ = lead time tăng. | Waiting is one of the seven wastes.
vocab-already | exam-phrase | already | /ɔːlˈredi/ | adv | before now; sooner than expected | đã, rồi (trước thời điểm này) | Chi tiết quan trọng trong tình huống: "the team has already tried…" nghĩa là đừng chọn đáp án bảo họ làm lại điều đó. | The team had already escalated the issue.
vocab-technology | vocabulary | technology, technologies, technological | /tekˈnɑːlədʒi/ | n | tools and methods based on science and engineering | công nghệ | Công nghệ mới = nhiều điều chưa biết → dùng spike để tìm hiểu trước khi cam kết. | Unfamiliar technology is a good reason to run a spike.
vocab-quickly | vocabulary | quick, quickly, quicker | /ˈkwɪkli/ | adv | fast; in a short time | nhanh chóng | Agile không phải "làm nhanh hơn" mà là "phản hồi nhanh hơn" — quickly respond to change, không phải quickly code. | Agility means changing direction quickly, not coding quickly.
vocab-skill | vocabulary | skill, skills, skilled | /skɪl/ | n | the ability to do something well | kỹ năng | Nhóm cross-functional phải có ĐỦ skills để hoàn thành việc mà không cần xin ai bên ngoài. | A cross-functional team has all the skills it needs.
vocab-idea | vocabulary | idea, ideas | /aɪˈdiːə/ | n | a thought or suggestion | ý tưởng | Brainstorming sinh ra nhiều ideas; dot voting chọn ra ideas đáng làm. | Generate many ideas first, then narrow them down.
vocab-later | exam-phrase | later, latest | /ˈleɪtər/ | adv | at a time after now | sau này, muộn hơn | "Later in development" xuất hiện nguyên văn ở nguyên tắc Agile số 2: chào đón thay đổi kể cả MUỘN trong quá trình phát triển. | Welcome changing requirements, even late in development.
vocab-everyone | vocabulary | everyone, everybody | /ˈevriwʌn/ | pron | every person | mọi người, tất cả | Từ khoá của transparency: "visible to everyone" = ai cũng thấy được, không giấu thông tin. | The board makes the work visible to everyone.
vocab-join | vocabulary | join, joins, joined, joining | /dʒɔɪn/ | v | to become a member of a group | gia nhập, tham gia | Người mới join làm velocity giảm tạm thời và đưa nhóm quay lại giai đoạn forming của Tuckman. | When a new member joins, velocity usually dips.
vocab-inform | vocabulary | inform, informs, informed, informing, information | /ɪnˈfɔːrm/ | v | to tell someone about something | thông báo, cho biết | Mức thấp nhất trong thang tham gia: inform < consult < involve < collaborate. Chỉ "inform" stakeholder thường là chưa đủ. | Informing stakeholders is not the same as engaging them.
vocab-value-n | vocabulary | value, values, valued, valuing | /ˈvæljuː/ | n | the worth or usefulness of something | giá trị | Khái niệm trung tâm nhất của Agile. Cũng có nghĩa "các giá trị cốt lõi": Scrum có 5 values, Manifesto có 4 values. | Deliver the highest value work first.
vocab-sure | exam-phrase | sure, make sure, ensure that | /ʃʊr/ | adj | certain | chắc chắn | Cụm "make sure" = bảo đảm rằng — dạng thân mật của "ensure". | Make sure the definition of done is met before the demo.
vocab-case | exam-phrase | case, cases, in this case, in that case | /keɪs/ | n | a particular situation | trường hợp | "In this case" = trong trường hợp này — khoanh vùng, nhắc bạn chỉ dùng dữ kiện đã cho. "Business case" = luận chứng kinh doanh. | In this case, the team should renegotiate the scope.
vocab-cannot | exam-phrase | cannot, unable, be unable to | /ˈkænɑːt/ | v | not able to | không thể | Điều kiện chính đáng để escalate: nhóm KHÔNG THỂ tự gỡ trở ngại. Nếu nhóm còn tự làm được thì escalate là sai. | Escalate only when the team cannot resolve it alone.
vocab-exist | vocabulary | exist, exists, existed, existing, existence | /ɪɡˈzɪst/ | v | to be present or real | tồn tại, hiện có | "Existing system/process" = hệ thống/quy trình đang có sẵn — thứ mà thay đổi sẽ phải sống chung. | The new feature must work with the existing system.
vocab-example | exam-phrase | example, examples, for example, for instance | /ɪɡˈzæmpl/ | n | a thing that shows what a group is like | ví dụ | "For example" và "for instance" đồng nghĩa, mở đầu phần minh hoạ — không phải ý chính của câu. | For example, a spike can reduce technical uncertainty.
vocab-data | vocabulary | data | /ˈdeɪtə/ | n | facts and numbers collected for reference | dữ liệu | Nền tảng của empiricism: quyết định dựa trên data, không dựa trên ý kiến. Danh từ thường coi là không đếm được. | Base the forecast on data, not on hope.
vocab-update | vocabulary | update, updates, updated, updating | /ˌʌpˈdeɪt/ | v | to make something current | cập nhật | Board hoặc chart không được update thì mất hết giá trị minh bạch. | An out-of-date board misleads everyone who reads it.
vocab-release-v | vocabulary | release, releases, released, releasing | /rɪˈliːs/ | v | to make a new version available to users | phát hành | Phân biệt với "deploy" (đưa code lên môi trường): release là MỞ cho người dùng. Feature toggle tách hai việc này. | The code was deployed on Monday but released on Friday.
vocab-select | vocabulary | select, selects, selected, selecting, selection | /sɪˈlekt/ | v | to choose from a set | chọn, tuyển chọn | Trong sprint planning, NHÓM tự select item từ backlog — không ai ép nhóm nhận bao nhiêu việc. | The team selects how much it can take into the sprint.
vocab-able | exam-phrase | able, be able to, ability to | /ˈeɪbl/ | adj | having the power or skill to do something | có thể, có khả năng | "Be able to" thay cho "can" ở các thì khác. Đối lập: unable to — dấu hiệu nhóm cần trợ giúp. | The team was unable to finish the item within the sprint.
vocab-useful | vocabulary | useful, usefulness | /ˈjuːsfl/ | adj | helpful for a purpose | hữu ích | Câu hỏi "which would be MOST useful?" hỏi công cụ/kỹ thuật hữu ích nhất cho đúng tình huống đó. | Which technique would be most useful in this situation?
vocab-once | exam-phrase | once | /wʌns/ | conj | as soon as; one time | một khi; một lần | HAI nghĩa: (1) ngay khi — once the spike finishes, …; (2) một lần — meet once a week. Nghĩa (1) hay bị bỏ sót. | Once the dependency is resolved, the team can continue.
