# Thẻ tách ra từ audit đa-agent (rà soát toàn diện + phản biện chéo) — xem tools/vocab meaning audit.
# Mỗi thẻ ở đây từng là 1 sourceTerm nằm lẫn trong thẻ khác nhưng mang nghĩa/từ loại khác hẳn headword.
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn
vocab-ineffective | vocabulary | ineffective |  | adj | not producing the intended or desired result | không hiệu quả, không đạt được kết quả mong muốn | KHÁC "effective" (hiệu quả, đạt đúng kết quả mong muốn). "ineffective" nghĩa là KHÔNG đạt được kết quả mong muốn, dù có thể vẫn tốn công sức/nguồn lực. | The retrospective format was ineffective because the same issues kept recurring sprint after sprint.
vocab-as-per | exam-phrase | as per |  | phr | in accordance with; according to | theo như, đúng theo | KHÁC "per" (mỗi, trên mỗi — dùng cho tỉ lệ như 'points per sprint'). "as per" nghĩa là 'theo như, tuân theo' (quy định, kế hoạch, thỏa thuận) — không liên quan đến ý 'mỗi'. | As per the team agreement, the daily standup starts at 9 a.m.
vocab-latest | exam-phrase | latest |  | adj | most recent; newest | mới nhất, gần đây nhất | KHÁC "later" (sau này, muộn hơn — chỉ một thời điểm sau). "latest" là dạng SO SÁNH NHẤT của 'late', nghĩa là 'mới nhất/gần đây nhất', ví dụ 'the latest release' = bản phát hành mới nhất, không phải 'bản phát hành sau này'. | Check the latest version of the product backlog before planning.
vocab-unusual | exam-phrase | unusual |  | adj | not usual; strange or unexpected | bất thường, khác thường | KHÁC "usually" (thường thì — chỉ điều phổ biến, hay xảy ra). "unusual" là tính từ mang nghĩa NGƯỢC LẠI — bất thường, không bình thường, hiếm gặp. | It was unusual for the team to miss a sprint deadline.
vocab-lowest | exam-phrase | lowest |  | adj | smallest in amount or rank | thấp nhất | KHÁC "highest" (cao nhất — giá trị/thứ hạng lớn nhất). "lowest" mang nghĩa NGƯỢC LẠI — thấp nhất, giá trị nhỏ nhất. | The lowest-priority items stay at the bottom of the backlog.
vocab-lower | exam-phrase | lower |  | adj | smaller in amount or rank (comparative) | thấp hơn | KHÁC "highest/higher" (cao nhất/cao hơn). "lower" mang nghĩa NGƯỢC LẠI — thấp hơn. | Lower-value items can wait until a later sprint.
vocab-below | exam-phrase | below |  | prep | lower than; later in the text | ở dưới, phía dưới | KHÁC "above" (ở trên, phía trên). "below" mang nghĩa NGƯỢC LẠI — ở dưới, phía dưới. | See the diagram below for the full workflow.
vocab-none-of-the-above | exam-phrase | none of the above |  | phr | not any of the listed options | không ý nào trong số trên | KHÁC "above" (ở trên). "none of the above" nghĩa là KHÔNG đáp án nào ở trên là đúng — đối lập trực tiếp với "all of the above" trong cùng thẻ. | None of the above accurately describes a sprint backlog.
vocab-neither | exam-phrase | neither |  | conj | not either; not one nor the other | không cái nào (trong hai) | KHÁC "either" (một trong hai — ý khẳng định lựa chọn). "neither" mang nghĩa PHỦ ĐỊNH — không cái nào trong hai. | Neither option solves the root cause of the delay.
vocab-neither-nor | exam-phrase | neither nor |  | conj | not this and not that | không... cũng không... | KHÁC "either or" (hoặc cái này hoặc cái kia). "neither nor" phủ định CẢ HAI vế — không cái nào trong hai. | Neither the scope nor the deadline can move.
vocab-completely | vocabulary | completely |  | adv | totally, entirely | hoàn toàn, một cách trọn vẹn | KHÁC "incomplete" (chưa hoàn thành, còn dang dở). "completely" là trạng từ chỉ MỨC ĐỘ — hoàn toàn/triệt để, không nói về việc công việc đã xong hay chưa. | The requirements changed completely after the stakeholder meeting.
vocab-unsuitable | vocabulary | unsuitable |  | adj | not right for a purpose | không phù hợp | KHÁC "suitable" (phù hợp, thích hợp). "unsuitable" mang nghĩa NGƯỢC LẠI — không phù hợp. | Waterfall is often unsuitable for highly uncertain projects.
vocab-unacceptable | vocabulary | unacceptable |  | adj | not good enough to be agreed to | không thể chấp nhận | KHÁC "acceptable" (chấp nhận được). "unacceptable" mang nghĩa NGƯỢC LẠI — không thể chấp nhận. | Skipping testing to save time is unacceptable.
vocab-longer | exam-phrase | longer |  | adj | taking more time (comparative) | dài hơn, lâu hơn | KHÁC "smaller/shorter" (nhỏ hơn/ngắn hơn) đã được gộp trong cùng thẻ. "longer" mang nghĩa NGƯỢC LẠI — dài hơn, kéo dài hơn. | A longer iteration delays feedback from real users.
vocab-bottom | exam-phrase | bottom |  | n | the lowest part | đáy, phần dưới cùng | KHÁC "top" (đỉnh, phần trên cùng, chứa item ưu tiên cao nhất và đã được làm rõ nhất). "Bottom" là phần DƯỚI CÙNG — nghĩa TRÁI NGƯỢC với top; ví dụ "bottom of the backlog" chứa các item ít được làm rõ và ưu tiên thấp nhất. | Items near the bottom of the backlog are rarely refined in detail.
vocab-high-risk | vocabulary | high-risk |  | adj | having a large amount of risk | rủi ro cao | KHÁC "risk-based" (mang tính phương pháp: ra quyết định/ưu tiên DỰA TRÊN mức độ rủi ro). "High-risk" mô tả bản thân một hạng mục CÓ mức rủi ro cao, không phải một cách tiếp cận dựa-trên-rủi-ro. | The team tackled the high-risk integration work in the first sprint.
vocab-low-risk | vocabulary | low-risk |  | adj | having only a small amount of risk | rủi ro thấp | KHÁC "risk-based" (ra quyết định dựa trên mức độ rủi ro) và cũng TRÁI NGƯỢC với "high-risk" bị gộp chung trong cùng thẻ. "Low-risk" mô tả một hạng mục có ít rủi ro, nên có thể làm sau. | Low-risk items can safely wait until later sprints.
vocab-hr | vocabulary | hr |  | n | the department responsible for hiring, staffing, and employee matters (abbreviation of "Human Resources") | phòng nhân sự | KHÁC "human" (tính từ nghĩa "thuộc về con người, liên quan đến con người"). "HR" là viết tắt của "Human Resources" — tên riêng chỉ MỘT PHÒNG BAN cụ thể trong tổ chức, không phải biến thể của tính từ "human". | Escalating every disagreement to HR undermines the team's self-organization.
vocab-anything | exam-phrase | anything |  | pron | any thing at all (used in questions, negatives, and conditionals) | bất cứ điều gì, cái gì | KHÁC "nothing" (không có gì cả — phủ định tuyệt đối). "Anything" mang nghĩa TRUNG TÍNH, chỉ một vật/điều bất kỳ, thường dùng trong câu hỏi hoặc câu phủ định, không tự nó mang nghĩa phủ định. | Ask if anything is blocking the team before the daily scrum ends.
vocab-something | exam-phrase | something |  | pron | an unspecified thing that exists (used in positive statements) | một điều gì đó, một cái gì đó | KHÁC "nothing" (không có gì cả). "Something" khẳng định RẰNG có một điều/vật nào đó tồn tại nhưng chưa xác định rõ, gần như ngược với ý "không có gì" của nothing. | Something changed in the requirements after the sprint started.
vocab-nobody | exam-phrase | nobody |  | pron | no person; not a single person | không ai cả | KHÁC "anyone/anybody" (bất kỳ ai, mang nghĩa mở). "Nobody" mang nghĩa PHỦ ĐỊNH — không một ai — gần như trái nghĩa với anyone/anybody trong câu khẳng định. | Nobody volunteered to own the flaky test suite.
vocab-unequal | exam-phrase | unequal |  | adj | not equal; different in amount, size, or level | không đồng đều, không ngang nhau | TRÁI NGHĨA với "equal/equally" (ngang nhau, như nhau). "Unequal" mô tả tình trạng KHÔNG cân bằng, ví dụ phân bổ công việc không đều giữa các thành viên. | Unequal workload across the team led to burnout for two members.
vocab-known | vocabulary | known |  | adj | already discovered or understood | đã biết | TRÁI NGHĨA với "unknown" (chưa biết, ẩn số). "Known" chỉ những gì ĐÃ được xác định hoặc hiểu rõ, ngược lại với các yếu tố còn là ẩn số mà đội cần khám phá dần. | Plan in detail only for the known parts of the work.
vocab-whom | exam-phrase | whom |  | pron | which person (used as the object of a verb or preposition) | (dành) cho ai, mà ai (dạng tân ngữ) | KHÁC "whose" (đại từ SỞ HỮU, nghĩa "của ai"). "Whom" là dạng TÂN NGỮ của "who" — chỉ người nhận hành động hoặc đứng sau giới từ, không mang nghĩa sở hữu. | The stakeholder to whom the report was sent had no questions.
vocab-low-priority | vocabulary | low-priority |  | adj | not needing to be done soon; can wait | ưu tiên thấp | TRÁI NGHĨA với "high-priority" (ưu tiên cao, cần làm trước). "Low-priority" chỉ những hạng mục có thể để làm sau, ngược hẳn với nghĩa "cần làm trước" của headword. | Low-priority items can stay near the bottom of the backlog.
vocab-call | vocabulary | call |  | v | to summon, name, or arrange something (e.g. to call a meeting) — a much broader verb than "phone" | gọi, triệu tập, đặt tên | KHÁC "phone/phone call" (điện thoại, cuộc gọi điện thoại — một thiết bị/hành động cụ thể). "Call" đứng một mình là động từ rất đa nghĩa, ví dụ "call a meeting" (triệu tập cuộc họp), không nhất thiết liên quan tới điện thoại. | The scrum master called an emergency retrospective after the outage.
vocab-advanced | exam-phrase | advanced |  | adj | having reached a high level of skill, complexity, or development | (ở trình độ) cao cấp, nâng cao | KHÁC "advance/in advance" (sự tiến lên; làm trước, chuẩn bị sẵn từ đầu). "Advanced" khi làm tính từ mô tả TRÌNH ĐỘ cao/phức tạp của một kỹ thuật hay người thực hành, ví dụ "advanced Agile practices", không liên quan tới ý "trước thời hạn". | The workshop covered advanced facilitation techniques for experienced scrum masters.
