# Thẻ tách ra từ các thẻ bị gộp nhầm nghĩa (phát hiện qua rà soát 8-agent, xem tools/splitAmbiguousTerms.mjs).
# Mỗi thẻ ở đây từng là 1 sourceTerm nằm lẫn trong thẻ khác nhưng mang nghĩa/từ loại khác hẳn
# headword — ví dụ điển hình: "reliable" (đáng tin cậy) từng bị gộp vào "rely" (dựa vào).
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn
vocab-unclear | vocabulary | unclear | /ˌʌnˈklɪr/ | adj | not easy to understand; lacking clear definition | không rõ ràng, mơ hồ | Tính từ mang nghĩa NGƯỢC với "clear" — diễn tả điều gì đó mơ hồ, khó hiểu, chưa được xác định rõ ràng. Trong đề PMI-ACP, "unclear requirements" hoặc "unclear acceptance criteria" là nguyên nhân gốc rất phổ biến gây rework — khác hẳn "clarity" (sự rõ ràng, một phẩm chất tích cực). | The acceptance criteria were unclear, so the team built the wrong feature.
vocab-minimum | vocabulary | minimum | /ˈmɪnɪməm/ | n | the smallest amount or level allowed or required | mức tối thiểu | Trái nghĩa với maximum: giới hạn DƯỚI thay vì giới hạn TRÊN. Rất hay gặp trong cụm 'Minimum Viable Product (MVP)' — phiên bản nhỏ nhất của sản phẩm đủ để tạo ra giá trị và học hỏi từ người dùng. | The team released a minimum viable product to validate the idea with real users.
vocab-marketing | vocabulary | marketing | /ˈmɑːrkɪtɪŋ/ | n | the activities involved in promoting and selling a product | hoạt động tiếp thị, marketing | Khác với 'market' (thị trường — nhóm khách hàng tiềm năng): 'marketing' là HOẠT ĐỘNG quảng bá, truyền thông để đưa sản phẩm tiếp cận thị trường đó. | The marketing team coordinated its campaign with the product release date.
vocab-code | vocabulary | code, codebase | /koʊd/ | n | the written instructions that make up a software program | mã nguồn, mã lệnh | Khác với 'programmer' (người viết code): 'code'/'codebase' là chính bản thân đoạn mã hoặc toàn bộ kho mã nguồn của dự án, không phải con người. | The team refactored the codebase to remove duplicated logic before adding new features.
vocab-programming | vocabulary | coding, programming | /ˈproʊɡræmɪŋ/ | n | the activity of writing computer code | hoạt động lập trình, viết mã | Khác với 'programmer' (người thực hiện): 'coding'/'programming' chỉ HÀNH ĐỘNG viết mã. 'Pair programming' nghĩa là hai người CÙNG lập trình chung, không phải nói về hai 'programmer'. | Programming in pairs helps the team catch defects earlier through continuous review.
vocab-inappropriate | vocabulary | inappropriate | /ˌɪnəˈproʊpriət/ | adj | not suitable or fitting for a particular situation | không phù hợp, không thích hợp | Trái nghĩa với appropriate — mô tả điều gì đó KHÔNG hợp với hoàn cảnh, thường mang ý phê phán/cảnh báo. Trong đề, nhận diện 'inappropriate' giúp loại các đáp án không phù hợp với ngữ cảnh câu hỏi. | Micromanaging a mature Agile team is an inappropriate leadership style.
vocab-unaware | vocabulary | unaware | /ˌʌnəˈwɛr/ | adj | not knowing that something exists or is happening | không nhận thức được, không hay biết | Trái nghĩa với aware — chỉ trạng thái THIẾU thông tin hoặc thiếu nhận thức về một tình huống. Thường xuất hiện khi mô tả nguyên nhân sự cố: nhóm 'unaware' của một rủi ro hoặc phụ thuộc nào đó. | The team was unaware of the API change until the integration broke.
vocab-various | vocabulary | various | /ˈvɛriəs/ | adj | of several different types or kinds | nhiều loại, đa dạng, khác nhau | Khác với 'vary' (thay đổi theo thời gian/tình huống), 'various' mô tả có NHIỀU thứ khác loại cùng tồn tại, ví dụ 'various stakeholders' = nhiều nhóm bên liên quan khác nhau, không liên quan đến việc dao động hay biến thiên. | The product owner gathered input from various stakeholders before refining the backlog.
vocab-rewarding | vocabulary | rewarding | /rɪˈwɔːrdɪŋ/ | adj | giving satisfaction or a sense of achievement | bổ ích, mang lại sự thoả mãn | Khác với 'reward' (danh từ, phần thưởng vật chất/sự ghi nhận), 'rewarding' là tính từ mô tả CẢM GIÁC thoả mãn, ý nghĩa khi làm một việc gì đó — ví dụ 'a rewarding sprint' không liên quan đến phần thưởng mà nói tới cảm giác mãn nguyện. | Solving the customer's problem together made the sprint feel rewarding.
vocab-means | vocabulary | means | /miːnz/ | n | a method or way of doing something | phương tiện, cách thức | Khác hẳn động từ 'mean' (có nghĩa là), danh từ 'means' chỉ CÔNG CỤ/CÁCH THỨC để đạt mục đích, ví dụ 'by means of automation', 'a means of surfacing impediments'. | The daily standup is a means of surfacing impediments early.
vocab-improperly | vocabulary | improperly | /ɪmˈprɒpərli/ | adv | in a way that is not correct or suitable | không đúng cách, sai quy cách | Trái nghĩa với properly — mô tả việc làm SAI cách hoặc không đạt chuẩn, thường dùng để chỉ nguyên nhân gốc của lỗi trong đề, ví dụ 'the requirement was improperly documented'. | The acceptance criteria were improperly documented, causing rework later.
vocab-productive | vocabulary | productive | /prəˈdʌktɪv/ | adj | producing a lot, or achieving good results efficiently | có năng suất, hiệu quả | Khác với động từ 'produce' (tạo ra một thứ cụ thể), 'productive' là tính từ mô tả MỨC ĐỘ hiệu quả/năng suất của một hoạt động hay con người, ví dụ 'a productive meeting' = cuộc họp hiệu quả, không đơn thuần là cuộc họp 'tạo ra' cái gì đó. | A well-facilitated retrospective is far more productive than an unstructured one.
vocab-online | vocabulary | online | /ˌɒnˈlaɪn/ | adj | connected to or available through the internet | trực tuyến | Khác hẳn 'website' (danh từ, chỉ một trang web cụ thể), 'online' là tính từ/trạng từ mô tả trạng thái kết nối internet nói chung, ví dụ 'an online tool', 'work online' — không nhất thiết liên quan tới một website. | Distributed teams rely on online collaboration tools to stay aligned.
vocab-app | vocabulary | app | /æp/ | n | a software program, especially one used on a mobile device | ứng dụng (phần mềm) | Khác hẳn 'website' (trang web truy cập qua trình duyệt), 'app/application' là một phần mềm cài đặt hoặc chạy độc lập, thường trên điện thoại. Hai khái niệm sản phẩm khác nhau dù cùng xuất hiện trong bối cảnh phát triển phần mềm của đề thi. | The team is developing a mobile app rather than a browser-based website.
vocab-daily | vocabulary | daily | /ˈdeɪli/ | adj | happening every day | hàng ngày | Khác 'weekly' (hàng tuần) — 'daily' chỉ tần suất MỖI NGÀY, ví dụ daily standup/daily scrum diễn ra hàng ngày chứ không phải hàng tuần. | The daily standup keeps the team synchronized on progress and impediments.
vocab-monthly | vocabulary | monthly | /ˈmʌnθli/ | adj | happening once a month | hàng tháng | Khác 'weekly' (hàng tuần) — 'monthly' chỉ tần suất MỖI THÁNG một lần, ví dụ monthly stakeholder report. | The program sent a monthly report summarizing progress across all teams.
vocab-quarterly | vocabulary | quarterly | /ˈkwɔːrtərli/ | adj | happening once every three months | hàng quý | Khác 'weekly' (hàng tuần) — 'quarterly' chỉ tần suất MỖI QUÝ (3 tháng) một lần, thường dùng cho quarterly planning hoặc portfolio review. | Quarterly planning aligns multiple teams around the same set of themes.
vocab-frustrating | vocabulary | frustrating | /frəˈstreɪtɪŋ/ | adj | causing feelings of annoyance or an inability to make progress | gây bực bội, gây khó chịu | Tính từ mô tả nguyên nhân gây bực bội (KHIẾN người khác khó chịu), khác với 'frustrated' là trạng thái cảm giác bực bội của chính người trong cuộc. VD: 'a frustrating process' = một quy trình gây bực bội, không phải quy trình đang cảm thấy bực bội. Cặp tính từ -ing/-ed này rất hay gây nhầm lẫn, tương tự boring/bored. | The lack of transparency in status reports was frustrating for the whole team.
vocab-briefing | vocabulary | briefing | /ˈbriːfɪŋ/ | n | a meeting or session in which information or instructions are given before a task | buổi họp thông báo/hướng dẫn | Danh từ chỉ một buổi họp để truyền đạt thông tin hoặc chỉ dẫn trước khi bắt đầu công việc, khác hẳn tính từ 'brief' (ngắn gọn). Đừng nhầm 'a briefing' (một buổi họp) với 'brief' (mô tả độ ngắn của thời lượng). | The project manager held a briefing before the release to align everyone on the rollback plan.
vocab-everything | vocabulary | everything | /ˈevriθɪŋ/ | pron | every thing; all things | mọi thứ, tất cả (đồ vật/sự việc) | Chỉ sự vật/sự việc ('mọi thứ'), khác với 'everyone/everybody' chỉ con người ('mọi người'). Trong đề thi, 'everything is visible on the board' (mọi thứ) khác nghĩa với 'everyone can see the board' (mọi người). | Everything on the Kanban board should reflect the true state of the work.
vocab-useless | vocabulary | useless | /ˈjuːsləs/ | adj | not helpful or effective for any purpose | vô ích, không hữu ích | Nghĩa ngược lại hoàn toàn với 'useful' chứ không phải biến thể cùng nghĩa. Trong đề thi, mô tả một hoạt động là 'useless' nghĩa là nó KHÔNG mang lại giá trị — ngược hẳn với 'useful'. | A status meeting with no decisions made is often seen as useless by the team.
vocab-slow | vocabulary | slow, slower | /sloʊ/ | adj | moving or happening at a low speed; not fast | chậm | Nghĩa ngược lại với 'speed/faster' (nhanh) — 'slow/slower' diễn tả tốc độ thấp. Cẩn thận khi đề dùng 'slow down' hay 'a slower pace' — đây là ý ngược với việc tăng speed, đôi khi lại là đáp án ĐÚNG vì Agile ưu tiên chất lượng hơn tốc độ. | A slower, more deliberate pace early on can prevent costly rework later.
vocab-organization-entity | vocabulary | organisation | /ˌɔːrɡənəˈzeɪʃn/ | n | a company, institution, or group of people organized for a particular purpose | tổ chức, doanh nghiệp (một thực thể) | Khi dùng như danh từ đếm được ('the organization', 'an organisation'), từ này thường chỉ một tổ chức/doanh nghiệp cụ thể, khác nghĩa của động từ gốc 'organize' (hành động sắp xếp). Hay gặp trong cụm 'organizational culture', 'across the organization' — nói về công ty/tổ chức chứ không phải hành vi tổ chức công việc. | Scaling agile practices across the organization requires support from senior leadership.
vocab-exercise-verb | vocabulary | exercised | /ˈeksərsaɪz/ | v | to use or apply a power, right, or quality | vận dụng, sử dụng (quyền, khả năng phán đoán) | Động từ nghĩa 'vận dụng/sử dụng' một quyền hạn hay khả năng (VD: exercise judgment, exercise authority) — khác hẳn nghĩa danh từ 'exercise' (bài tập thực hành) mà thẻ gốc đang định nghĩa. | The product owner exercised judgment to reprioritize the backlog after the market shift.
vocab-invalid | vocabulary | invalid | /ɪnˈvælɪd/ | adj | not based on sound reasoning; not officially acceptable | không hợp lệ, không có căn cứ | Nghĩa ngược lại với 'valid' chứ không phải biến thể cùng nghĩa — một giả định hay lập luận 'invalid' là sai/không có cơ sở, cần bị bác bỏ hoặc kiểm chứng lại. | The estimate turned out to be invalid once the hidden dependency was discovered.
vocab-offsite | vocabulary | offsite | /ˈɔːfsaɪt/ | adj | away from the main work location; not co-located with the team | từ xa, không tại chỗ (ngược với on-site) | Nghĩa ngược với 'on-site' — mô tả người hoặc nguồn lực không ở cùng địa điểm với nhóm, tức làm việc từ xa. Khác hẳn với 'on-site customer' (khách hàng ngồi tại chỗ) mà thẻ gốc đang nói tới. | When key stakeholders are offsite, the team relies more heavily on video calls.
vocab-no-one | vocabulary | no one | /ˈnoʊ wʌn/ | pron | not a single person; nobody | không ai (chỉ người) | Chỉ con người ('không một ai') chứ không phải số lượng/đồ vật như 'zero' hay 'none'. VD: 'no one attended the retrospective' nghĩa là không có người nào tham dự, khác với 'the backlog has zero items' (số lượng). | No one on the team knew the deployment process was broken until the release failed.
vocab-unnecessary | vocabulary | unnecessary | /ˌʌnˈnesəseri/ | adj | not needed; more than what is required | không cần thiết, thừa | Trái nghĩa với "necessary": chỉ điều gì đó KHÔNG cần thiết, thừa thãi. Trong đề PMI-ACP hay gặp ở dạng cảnh báo lãng phí, ví dụ tài liệu thừa (unnecessary documentation) là một dạng waste theo tư duy Lean. | The team removed unnecessary documentation that no one ever read.
vocab-irrelevant | vocabulary | irrelevant | /ɪˈreləvənt/ | adj | not connected to the matter being discussed | không liên quan, không ăn nhập | Trái nghĩa với "relevant": chỉ thông tin/chi tiết KHÔNG liên quan đến vấn đề đang bàn. Trong đề PMI-ACP, các chi tiết "irrelevant" thường được cài vào tình huống để gây nhiễu, cần loại bỏ trước khi chọn đáp án. | Ignore details in the scenario that are irrelevant to the team's real impediment.
vocab-unhelpful | vocabulary | unhelpful | /ʌnˈhelpfəl/ | adj | not giving useful help; making a situation worse | không hữu ích, không giúp ích (thậm chí gây hại) | Trái nghĩa với "helpful": hành động hoặc thái độ KHÔNG giúp ích, đôi khi còn làm tình huống tệ hơn. Trong tình huống lãnh đạo Agile, đề hay mô tả một hành động của Scrum Master hoặc quản lý là "unhelpful" để chỉ ra cách xử lý sai. | Micromanaging the team's daily tasks would be unhelpful and undermine self-organization.
vocab-abnormal | vocabulary | abnormal | /æbˈnɔːrməl/ | adj | different from what is usual or expected | bất thường, khác thường | Trái nghĩa với "normal": chỉ sự dao động/kết quả KHÔNG bình thường, cần được điều tra thay vì bỏ qua như normal variation. Liên hệ control chart trong PMI-ACP: một điểm dữ liệu abnormal (nằm ngoài giới hạn kiểm soát) báo hiệu special cause cần xử lý. | An abnormal spike in defects triggered a root-cause investigation.
vocab-architect | vocabulary | architect | /ˈɑːrkɪtekt/ | n | a person who designs the structure of a system | kiến trúc sư (hệ thống) | Chỉ NGƯỜI thiết kế kiến trúc hệ thống, khác với "architecture" là bản thân cấu trúc đó. PMI-ACP nhấn mạnh kiến trúc tốt nhất nên EMERGE từ nhóm tự tổ chức, không phải do một architect áp đặt từ đầu — nếu đề mô tả một architect chỉ đạo toàn bộ thiết kế từ trên xuống, đó thường là dấu hiệu SAI theo tư duy Agile. | Relying on a single architect to dictate the design contradicts the principle of emergent architecture.
vocab-direct-verb | vocabulary | direct, directs, directed, directing | /dəˈrekt/ | v | to control, manage, or instruct the actions of people or things | chỉ đạo, điều hành, ra lệnh (cho ai làm gì) | Động từ nghĩa "chỉ đạo/điều hành", khác với trạng từ "directly" (trực tiếp, không qua trung gian). Trong PMI-ACP, phong cách lãnh đạo "directing" (chỉ đạo, ra lệnh) thường bị đối lập với phong cách servant leadership/coaching mà Agile khuyến khích. | A command-and-control manager directs every task, while a servant leader empowers the team to decide.
vocab-majority | vocabulary | majority | /məˈdʒɔːrəti/ | n | more than half of the people or things in a group | phần lớn, đa số | Chỉ SỐ ĐÔNG trong một nhóm (hơn một nửa), khác với "major" (tính từ nghĩa quan trọng/lớn). Hay gặp trong kỹ thuật ra quyết định nhóm của Agile như majority voting, khi nhóm chọn theo số đông thay vì đồng thuận tuyệt đối (consensus). | The team used majority voting to break the tie during backlog prioritization.
vocab-groom | vocabulary | groom, grooming | /ɡruːm/ | v | to refine backlog items by clarifying, estimating, splitting, and reordering them | chuốt/tinh chỉnh backlog (backlog refinement) | Khác với "prune" (chỉ xóa bớt item thừa), "groom/grooming" — nay thường gọi chính thức là "backlog refinement" — là hoạt động RỘNG HƠN: làm rõ yêu cầu, ước lượng, chia nhỏ item lớn và sắp xếp lại thứ tự ưu tiên, không chỉ xóa. | During backlog grooming, the team split a large story and re-estimated it with the product owner.
vocab-reliable | vocabulary | reliable | /rɪˈlaɪəbl/ | adj | consistently good in quality or performance; able to be trusted | đáng tin cậy | Mô tả PHẨM CHẤT của một hệ thống, quy trình hay con người — KHÔNG cần giới từ 'on' như động từ 'rely'. Phân biệt: 'rely ON X' (dựa vào X) là động từ + giới từ, còn 'a reliable system' (một hệ thống đáng tin cậy) là tính từ đứng trước danh từ. | A reliable CI/CD pipeline lets the team release with confidence.
vocab-specification | vocabulary | specification, specifications | /ˌspɛsəfɪˈkeɪʃən/ | n | a detailed, formal description of requirements that something must satisfy | bản đặc tả, yêu cầu kỹ thuật | Khác với tính từ 'specific' (cụ thể, rõ ràng), 'specification' (số nhiều: specifications) là DANH TỪ chỉ một TÀI LIỆU mô tả chi tiết yêu cầu — gắn với cách làm predictive/waterfall (viết specification đầy đủ trước khi code). Trong Agile, user story và cuộc trò chuyện thường thay thế cho specification chi tiết. | Instead of a detailed specification document, the team relies on conversations around the user story.
vocab-dissatisfaction | vocabulary | dissatisfaction | /ˌdɪsˌsætɪsˈfækʃən/ | n | a feeling of displeasure because expectations or needs were not met | sự bất mãn, không hài lòng | Nghĩa NGƯỢC với 'satisfaction' (hài lòng) — tiền tố 'dis-' phủ định. Dùng khi khách hàng hoặc stakeholder KHÔNG hài lòng, ví dụ do sản phẩm giao chậm hoặc thiếu tính năng cần thiết. | Skipping the sprint review caused visible dissatisfaction among stakeholders.
vocab-disadvantage | vocabulary | disadvantage, disadvantages | /ˌdɪsədˈvæntɪdʒ/ | n | a factor that puts someone or something in a worse position | nhược điểm, bất lợi | Nghĩa NGƯỢC với 'advantage' (lợi thế). Câu hỏi thi hay hỏi song song: 'what is an advantage/disadvantage of...' — cần phân biệt rõ đang hỏi mặt tốt hay mặt xấu. | One disadvantage of very short iterations is the overhead of frequent ceremonies.
vocab-unstable | vocabulary | unstable | /ʌnˈsteɪbl/ | adj | likely to change suddenly; not steady or secure | không ổn định, bấp bênh | Nghĩa NGƯỢC với 'stable'. 'An unstable team' (nhóm thay đổi thành viên liên tục) khiến velocity không còn ý nghĩa dự báo, khác hẳn ý 'stable' (ổn định) mà thẻ gốc mô tả. | An unstable team with constant turnover makes velocity meaningless.
vocab-competitor | vocabulary | competitor, competitors | /kəmˈpɛtɪtər/ | n | a person, team, or company competing against others, especially a rival business | đối thủ cạnh tranh | Khác tính từ 'competitive' (mang tính cạnh tranh) mô tả PHẨM CHẤT, 'competitor' là DANH TỪ chỉ MỘT THỰC THỂ cụ thể — công ty hay sản phẩm đối thủ. Ví dụ: 'a competitor released a similar feature' nói về một công ty khác, không phải mô tả tính chất cạnh tranh. | A competitor launched a similar feature, adding pressure to release early.
vocab-incorrect | vocabulary | incorrect, incorrectly | /ˌɪnkəˈrɛkt/ | adj | not correct; containing an error | sai, không đúng | Nghĩa NGƯỢC với 'correct' (đúng). Trong đề thi, nhận diện được đáp án 'incorrect' cũng quan trọng như tìm đáp án đúng, đặc biệt ở dạng câu hỏi 'which of the following is INCORRECT?' | It would be incorrect to assume the product owner writes all the code.
vocab-impossible | vocabulary | impossible | /ɪmˈpɑːsəbl/ | adj | not able to happen or be done | không thể, bất khả thi | Nghĩa NGƯỢC với 'possible' — mạnh hơn 'not feasible' (không khả thi trong thực tế), 'impossible' nghĩa là về lý thuyết cũng không thể thực hiện được. | It is impossible to guarantee zero defects in any software product.
vocab-issue-verb | vocabulary | issued, issuing | /ˈɪʃuː/ | v | to officially give out, release, or publish something | phát hành, ban hành | Khác hẳn danh từ 'issue' (vấn đề đã xảy ra), động từ 'to issue' nghĩa là CHÍNH THỨC PHÁT HÀNH hoặc BAN HÀNH thứ gì đó, ví dụ issue a change request, issue a report, issue a warning — không liên quan gì tới 'vấn đề'. | The PMO issued an updated template for status reporting.
vocab-associate-noun | vocabulary | associate | /əˈsoʊʃiət/ | n | a colleague or partner one works with | đồng nghiệp, cộng sự | Khác tính từ 'associated' (liên đới, gắn với, đi cùng giới từ 'with'), danh từ 'an associate' chỉ MỘT NGƯỜI — đồng nghiệp hay cộng sự, ví dụ 'a business associate'. Không liên quan tới cụm 'risks associated with...'. | She introduced her associate from the vendor's delivery team.
