# Thẻ từ vựng BỔ SUNG — nhóm 1: động từ / danh từ / tính từ học thuật & công sở hay gặp nhất
# trong 1.684 câu (chọn từ data/candidates.txt, ngưỡng xuất hiện >= 10 câu).
# Định dạng: id | category | surfaceForms | ipa | pos | senseEn | translationVi | definitionVi | exampleEn
# surfaceForms: các dạng viết trong đề, ngăn bằng dấu phẩy — dùng để tự động khớp từ với câu hỏi.

vocab-collaboration | vocabulary | collaboration, collaborations, collaborate, collaborates, collaborated, collaborating, collaborative, collaboratively | /kəˌlæbəˈreɪʃn/ | n | the act of working jointly with others toward a shared result | sự cộng tác, sự hợp tác | Làm việc CÙNG NHAU để cùng tạo ra kết quả — khác "cooperation" (chỉ giúp đỡ, không cùng làm). Đây là từ khóa trung tâm của Agile: "customer collaboration over contract negotiation". | Close collaboration with the customer reduces the risk of building the wrong thing.
vocab-overall | vocabulary | overall | /ˌoʊvərˈɔːl/ | adj | considering everything together, rather than a single part | tổng thể, nhìn chung | Tín hiệu đề đang hỏi bức tranh TOÀN CỤC chứ không phải chi tiết: "the overall goal", "overall progress". | The burnup chart shows overall progress against a changing scope.
vocab-gather | vocabulary | gather, gathers, gathered, gathering | /ˈɡæðər/ | v | to collect things or information from different sources | thu thập, tập hợp | "Gather feedback / requirements / data". Lưu ý: Agile nói "gather feedback" liên tục, còn "gather all requirements upfront" là cách làm predictive. | The team gathered feedback from real users during the sprint review.
vocab-establish | vocabulary | establish, establishes, established, establishing | /ɪˈstæblɪʃ/ | v | to set something up so that it lasts, or to prove something is true | thiết lập; xác lập | Dùng cho việc TẠO RA cái tồn tại lâu dài: establish a working agreement, establish ground rules, establish a baseline. | The team established a working agreement in its first retrospective.
vocab-represent | vocabulary | represent, represents, represented, representing, representation, representative | /ˌreprɪˈzent/ | v | to stand for something, or to act on behalf of a group | đại diện cho; biểu thị | Hai nghĩa: (1) biểu thị — each column represents a workflow stage; (2) đại diện — the product owner represents the customer. | Each card on the board represents one work item.
vocab-throughout | vocabulary | throughout | /θruːˈaʊt/ | adv | during the whole period, or in every part | xuyên suốt, trong toàn bộ | Nhấn mạnh "từ đầu đến cuối, không gián đoạn" — rất hay đi với các nguyên tắc Agile: "throughout the project", "throughout the iteration". | Stakeholders should be engaged throughout the project, not only at the start.
vocab-adapt | vocabulary | adapt, adapts, adapted, adapting, adaptable, adaptability | /əˈdæpt/ | v | to change something so it fits a new situation | thích ứng, điều chỉnh cho phù hợp | ĐỪNG lẫn với "adopt" (áp dụng, chấp nhận). adapt = SỬA cho hợp; adopt = LẤY về dùng. Hai từ này rất hay bị đánh tráo trong đáp án nhiễu. | The team adapted its process after inspecting the results.
vocab-adopt | vocabulary | adopt, adopts, adopted, adopting, adopter, adopters, adoption | /əˈdɑːpt/ | v | to start using a new method, idea or practice | áp dụng, chấp nhận (cái mới) | Cặp bẫy kinh điển với "adapt". adopt Kanban = bắt đầu dùng Kanban; adapt the process = chỉnh sửa quy trình hiện có. | The organisation adopted Kanban to improve flow in the support team.
vocab-expectation | vocabulary | expectation, expectations, expect, expects, expected, expecting | /ˌekspekˈteɪʃn/ | n | what someone believes will or should happen | kỳ vọng, mong đợi | Cụm cực hay gặp: "manage stakeholder expectations" = làm cho kỳ vọng của bên liên quan khớp với thực tế. | Frequent demos help manage stakeholder expectations.
vocab-senior | vocabulary | senior, seniority | /ˈsiːniər/ | adj | higher in rank, or having more experience | cấp cao; kỳ cựu | Hai nghĩa: cấp bậc cao (senior management) hoặc nhiều kinh nghiệm (senior developer). Trái nghĩa: junior. | A senior manager asked the team to commit to a fixed scope and date.
vocab-junior | vocabulary | junior | /ˈdʒuːniər/ | adj | lower in rank, or having less experience | cấp thấp; ít kinh nghiệm | Trái nghĩa của senior. Tình huống hay gặp: ghép cặp junior với senior để pair programming nhằm truyền kiến thức. | Pairing a junior developer with a senior one speeds up knowledge transfer.
vocab-responsibility | vocabulary | responsibility, responsibilities, responsible | /rɪˌspɑːnsəˈbɪləti/ | n | a duty that you are expected to carry out | trách nhiệm (phải làm) | Phân biệt với accountability: responsibility = phần việc bạn PHẢI LÀM (nhiều người có thể cùng chia); accountability = người DUY NHẤT chịu trách nhiệm về kết quả. | Quality is a whole-team responsibility, not only the tester's.
vocab-upcoming | vocabulary | upcoming | /ˈʌpkʌmɪŋ/ | adj | happening soon; about to take place | sắp tới, sắp diễn ra | Rất hay gặp: "the upcoming sprint / release / iteration" — chỉ chu kỳ KẾ TIẾP, không phải chu kỳ hiện tại. | Refinement prepares items for the upcoming sprint.
vocab-necessary | vocabulary | necessary, necessarily | /ˈnesəseri/ | adj | needed in order for something to happen | cần thiết | Chú ý "not necessarily" = "không nhất thiết là" — cụm phủ định tinh tế rất hay xuất hiện trong đáp án nhiễu và làm đổi hoàn toàn ý nghĩa. | More documentation is not necessarily better documentation.
vocab-recommend | vocabulary | recommend, recommends, recommended, recommending, recommendation, recommendations | /ˌrekəˈmend/ | v | to advise a particular course of action as the best one | khuyến nghị, đề xuất | Mạnh hơn "suggest". Dạng câu hỏi phổ biến nhất của PMI-ACP: "What would an agile practitioner recommend?" — chọn hành động phù hợp giá trị Agile nhất. | What would you recommend the team do first?
vocab-complex | vocabulary | complex, complexity, complexities | /kəmˈpleks/ | adj | made of many connected parts whose behaviour is hard to predict | phức hợp, phức tạp | Trong Cynefin, "complex" (phức hợp — chỉ hiểu được sau khi thử) KHÁC "complicated" (rắc rối — chuyên gia phân tích được). Agile sinh ra cho miền complex. | Product development is complex, so we probe, sense and respond.
vocab-facilitate | vocabulary | facilitate, facilitates, facilitated, facilitating, facilitator | /fəˈsɪləteɪt/ | v | to help a group work through a process without deciding for them | tạo điều kiện, điều phối (cuộc họp) | KHÔNG phải "chủ trì và ra quyết định". Người facilitate giữ nhịp và giúp NHÓM tự quyết. Đây là vai trò cốt lõi của Scrum Master. | The scrum master facilitates the retrospective but does not run the discussion.
vocab-remaining | vocabulary | remaining, remains, remain, remained | /rɪˈmeɪnɪŋ/ | adj | still left after part has been used or completed | còn lại | "Remaining work" = phần việc còn lại — chính là trục tung của burndown chart. | The burndown chart plots the remaining work each day.
vocab-tempting | vocabulary | tempting, tempt, tempted, temptation | /ˈtemptɪŋ/ | adj | attractive in a way that makes you want to do it, even if it is unwise | hấp dẫn (nhưng nên tránh) | Tín hiệu CẢNH BÁO trong đề: "it may be tempting to…" hầu như luôn dẫn tới cách làm SAI mà đề muốn bạn tránh. | It is tempting to add more people to a late project, but this usually slows it further.
vocab-reflect | vocabulary | reflect, reflects, reflected, reflecting, reflection | /rɪˈflekt/ | v | to think carefully about something, or to show or express something | suy ngẫm; phản ánh | Hai nghĩa: (1) suy ngẫm — the team reflects in the retrospective; (2) phản ánh — the chart reflects reality. Nguyên tắc Agile số 12 dùng nghĩa (1). | At regular intervals the team reflects on how to become more effective.
vocab-technique | vocabulary | technique, techniques | /tekˈniːk/ | n | a particular way of carrying out a task | kỹ thuật, thủ pháp | Nhỏ hơn "methodology": planning poker là một technique, Scrum là một framework. Đề hay hỏi "which technique would be most useful…". | Planning poker is an estimation technique that reduces anchoring bias.
vocab-component | vocabulary | component, components | /kəmˈpoʊnənt/ | n | one of the parts that together make up a whole | thành phần, bộ phận | Trong bối cảnh nhóm: "component team" (nhóm theo tầng kỹ thuật) đối lập với "feature team" (nhóm theo tính năng) — Agile ưu tiên feature team. | Component teams create dependencies that slow delivery.
vocab-essential | vocabulary | essential, essentially | /ɪˈsenʃl/ | adj | absolutely necessary; impossible to do without | thiết yếu, không thể thiếu | Mạnh hơn "important". Nguyên tắc Agile số 10: "simplicity — the art of maximizing the amount of work not done" gắn với việc chỉ làm phần essential. | Face-to-face conversation is essential for conveying information efficiently.
vocab-valuable | vocabulary | valuable | /ˈvæljuəbl/ | adj | worth a lot, especially because it is useful | có giá trị, đáng giá | Gốc từ "value" — khái niệm trung tâm của Agile. "The most valuable item" gần như luôn là thứ cần làm TRƯỚC. | The team pulls the most valuable item from the top of the backlog.
vocab-completion | vocabulary | completion, complete, completes, completed, completing | /kəmˈpliːʃn/ | n | the act of finishing something entirely | sự hoàn thành | Trong Agile, "complete" phải chiếu theo Definition of Done — chưa đạt DoD thì chưa tính là hoàn thành, dù code đã viết xong. | An item counts toward velocity only after its completion against the definition of done.
vocab-opportunity | vocabulary | opportunity, opportunities | /ˌɑːpərˈtuːnəti/ | n | a favourable set of circumstances that makes something possible | cơ hội | Trong quản trị rủi ro, risk gồm CẢ hai chiều: threat (rủi ro tiêu cực) và opportunity (rủi ro tích cực). Nhiều người quên vế thứ hai. | A risk can be a threat or an opportunity.
vocab-ignore | vocabulary | ignore, ignores, ignored, ignoring | /ɪɡˈnɔːr/ | v | to deliberately pay no attention to something | phớt lờ, bỏ qua | Trong đáp án nhiễu, "ignore the issue / the stakeholder / the feedback" gần như LUÔN là đáp án sai — Agile đề cao minh bạch và phản hồi. | Ignoring the impediment allows it to grow into a bigger problem.
vocab-primary | vocabulary | primary, primarily | /ˈpraɪmeri/ | adj | most important; coming first in rank | chính, chủ yếu | Từ giới hạn quan trọng: "the primary measure of progress" (thước đo CHÍNH) — nguyên tắc Agile số 7 nói đó là working software. Chỉ chọn MỘT. | Working software is the primary measure of progress.
vocab-attend | vocabulary | attend, attends, attended, attending, attendance, attendee, attendees | /əˈtend/ | v | to be present at an event | tham dự | Chú ý ai ĐƯỢC dự sự kiện nào: sprint review mở cho stakeholder, còn retrospective thường chỉ dành cho nhóm. Đề rất hay khai thác điểm này. | Stakeholders attend the sprint review but not the retrospective.
vocab-input | vocabulary | input, inputs | /ˈɪnpʊt/ | n | information or contribution provided to a process or decision | đầu vào; ý kiến đóng góp | Ngoài nghĩa kỹ thuật, "input" còn nghĩa Ý KIẾN đóng góp: "gather input from the team" = lấy ý kiến của nhóm. | The product owner gathers input from stakeholders before ordering the backlog.
vocab-output | vocabulary | output, outputs | /ˈaʊtpʊt/ | n | what a process produces | đầu ra, sản phẩm tạo ra | Cặp đối chiếu quan trọng: output (số lượng làm ra) vs outcome (kết quả thật sự đạt được cho khách hàng). Agile đo outcome, không đo output. | Measuring output alone encourages busywork rather than value.
vocab-outcome | vocabulary | outcome, outcomes | /ˈaʊtkʌm/ | n | the real result or change produced by what was done | kết quả thực tế, tác động đạt được | Cao hơn output một bậc: viết xong 10 tính năng là output; khách hàng dùng nhiều hơn 20% là outcome. | Focus on the outcome for the customer, not on the number of features shipped.
vocab-respond | vocabulary | respond, responds, responded, responding, response, responsive, responsiveness | /rɪˈspɑːnd/ | v | to react or reply to something | phản hồi, đáp ứng | Xuất hiện trong giá trị Agile số 4: "responding to change over following a plan". Danh từ: response. | Responding to change is valued over following a plan.
vocab-purpose | vocabulary | purpose, purposes | /ˈpɜːrpəs/ | n | the reason something exists or is done | mục đích | Một trong ba yếu tố tạo động lực nội tại (Daniel Pink): autonomy, mastery, purpose. Đề hay hỏi "the purpose of this event is…". | The purpose of the daily standup is to re-plan the day, not to report status.
vocab-initial | vocabulary | initial, initially | /ɪˈnɪʃl/ | adj | happening at the beginning; first | ban đầu | Hay đi với những thứ CHƯA hoàn chỉnh và sẽ được tinh chỉnh dần: initial estimate, initial backlog, initial plan. | The initial estimate will be refined as the team learns more.
vocab-statement | vocabulary | statement, statements | /ˈsteɪtmənt/ | n | something said or written that expresses a fact or position clearly | tuyên bố, phát biểu | Hay gặp: vision statement, problem statement, elevator statement. Câu hỏi dạng "which statement is true?" yêu cầu chọn PHÁT BIỂU đúng. | Which statement about the definition of done is correct?
vocab-visual | vocabulary | visual, visually, visualize, visualizes, visualized, visualizing, visualization, visualisation | /ˈvɪʒuəl/ | adj | relating to seeing; presented as a picture rather than as text | trực quan, bằng hình ảnh | Trụ cột đầu tiên của Kanban là "visualize the workflow". Từ này gắn với information radiator, board, chart. | Visualising the workflow makes bottlenecks obvious to everyone.
vocab-adjust | vocabulary | adjust, adjusts, adjusted, adjusting, adjustment, adjustments | /əˈdʒʌst/ | v | to make a small change so something works better | điều chỉnh | Nhấn vào thay đổi NHỎ, mang tính tinh chỉnh — khác "change" (thay đổi lớn). Gắn với vòng inspect–adapt. | The team adjusted its WIP limit after observing the cumulative flow diagram.
vocab-additional | vocabulary | additional | /əˈdɪʃənl/ | adj | extra; added to what already exists | bổ sung, thêm | Trang trọng hơn "extra". Bẫy hay gặp: "add additional resources to a late project" — đáp án nghe hợp lý nhưng thường SAI (định luật Brooks). | Adding additional developers mid-sprint usually slows the team down.
vocab-entire | vocabulary | entire, entirely | /ɪnˈtaɪər/ | adj | whole; with no part left out | toàn bộ, cả | Nhấn mạnh KHÔNG THIẾU phần nào: "the entire team" = cả nhóm, không trừ ai — hay gặp trong nguyên tắc whole-team. | The entire team, not just the tester, owns quality.
vocab-apply | vocabulary | apply, applies, applied, applying, application | /əˈplaɪ/ | v | to put a rule, method or knowledge into practical use | áp dụng, vận dụng | "Apply a practice/principle to a situation". Danh từ "application" ngoài nghĩa "ứng dụng phần mềm" còn nghĩa "việc áp dụng". | The team applied the five whys to find the root cause.
vocab-frequent | vocabulary | frequent, frequently, frequency | /ˈfriːkwənt/ | adj | happening often, at short intervals | thường xuyên, tần suất cao | Từ khóa Agile: frequent delivery, frequent feedback. Nguyên tắc số 3 nói giao hàng "frequently, from a couple of weeks to a couple of months". | Frequent delivery shortens the feedback loop.
vocab-available | vocabulary | available, availability, unavailable | /əˈveɪləbl/ | adj | able to be used or obtained; free to meet or help | sẵn có; rảnh để tiếp | Tình huống kinh điển: "the product owner is not available" — người học phải biết cách xử lý khi PO vắng mặt. | An unavailable product owner slows down every decision the team needs.
vocab-regular | vocabulary | regular, regularly | /ˈreɡjələr/ | adj | happening repeatedly at even intervals | đều đặn, định kỳ | Khác "frequent" ở chỗ nhấn vào ĐỀU ĐẶN chứ không phải NHIỀU. "At regular intervals" là cụm nguyên văn trong nguyên tắc Agile số 12. | At regular intervals, the team tunes and adjusts its behaviour.
vocab-refer | vocabulary | refer, refers, referred, referring, reference, references | /rɪˈfɜːr/ | v | to mention something, or to direct someone to a source | nhắc đến; tham chiếu tới | Cụm "refer to" = nói tới / chỉ về. Câu hỏi "what does X refer to?" là hỏi ĐỊNH NGHĨA của X. | The term "velocity" refers to the amount of work completed per iteration.
vocab-handle | vocabulary | handle, handles, handled, handling | /ˈhændl/ | v | to deal with a situation, person or problem | xử lý, giải quyết | Thân mật hơn "address" hay "resolve". "How should the team handle this?" = nhóm nên xử lý thế nào. | How should the scrum master handle a team member who dominates every discussion?
vocab-commitment | vocabulary | commitment, commitments, commit, commits, committed, committing | /kəˈmɪtmənt/ | n | a promise or firm decision to do something | cam kết | Trong Scrum hiện đại, nhóm cam kết với SPRINT GOAL, không cam kết cứng với toàn bộ danh sách item — điểm này rất hay bị hỏi. | The team commits to the sprint goal rather than to a fixed list of items.
vocab-engage | vocabulary | engage, engages, engaged, engaging, engagement | /ɪnˈɡeɪdʒ/ | v | to involve someone actively and keep their interest | lôi kéo tham gia, gắn kết | Mạnh hơn "inform": engage = cho tham gia thật sự, không chỉ thông báo. "Stakeholder engagement" là cả một mảng kiến thức thi. | Engaging stakeholders early prevents surprises at the review.
vocab-core | vocabulary | core | /kɔːr/ | adj | central and most important | cốt lõi | Hay gặp: "core team", "core practice", "core value". Chỉ phần TRUNG TÂM, bỏ đi thì không còn là chính nó. | Transparency, inspection and adaptation are the core pillars of empiricism.
vocab-actual | vocabulary | actual, actually | /ˈæktʃuəl/ | adj | real and existing, as opposed to what was planned or assumed | thực tế (đối lập với kế hoạch) | Cặp đối chiếu bắt buộc: planned vs actual. Trong EVM: AC = actual cost, PV = planned value. | Variance analysis compares planned progress with actual progress.
vocab-assess | vocabulary | assess, assesses, assessed, assessing, assessment | /əˈses/ | v | to judge the nature, quality or size of something | đánh giá, thẩm định | Trang trọng hơn "judge". Cụm chuẩn trong quản trị rủi ro: "assess the probability and impact of the risk". | The team assessed each risk for probability and impact.
vocab-prevent | vocabulary | prevent, prevents, prevented, preventing, preventive | /prɪˈvent/ | v | to stop something from happening | ngăn ngừa, phòng tránh | Cặp đối lập quan trọng: preventive action (ngăn trước khi xảy ra) vs corrective action (sửa sau khi đã xảy ra). | A WIP limit prevents the team from starting more work than it can finish.
vocab-whether | vocabulary | whether | /ˈweðər/ | conj | introduces a choice between two possibilities | liệu (có hay không) | Không phải "thời tiết" (weather). "Whether or not" = dù có hay không. Cụm này hay xuất hiện trong đề và dễ đọc nhầm. | The spike will show whether the approach is feasible.
vocab-expert | vocabulary | expert, experts, expertise | /ˈekspɜːrt/ | n | someone with deep knowledge or skill in a particular area | chuyên gia | "Expertise" (danh từ không đếm được) = chuyên môn. Cảnh báo: phụ thuộc vào MỘT expert duy nhất tạo ra single point of failure. | Relying on a single expert creates a single point of failure.
vocab-affect | vocabulary | affect, affects, affected, affecting | /əˈfekt/ | v | to have an influence on something | ảnh hưởng đến | BẪY CHÍNH TẢ: affect là ĐỘNG TỪ (ảnh hưởng đến), effect là DANH TỪ (hiệu ứng, tác động). "This affects the schedule" nhưng "the effect on the schedule". | The impediment affected every team working on that component.
vocab-workflow | vocabulary | workflow, workflows | /ˈwɜːrkfloʊ/ | n | the sequence of steps work passes through from start to finish | luồng công việc | Chính là thứ Kanban board thể hiện: mỗi cột là một bước trong workflow. Trụ cột Kanban số 1 là "visualize the workflow". | Each column on the board maps to one stage of the workflow.
vocab-significant | vocabulary | significant, significantly, significance | /sɪɡˈnɪfɪkənt/ | adj | large or important enough to have a noticeable effect | đáng kể, quan trọng | Mạnh hơn "big" — hàm ý đủ lớn để phải HÀNH ĐỘNG. "A significant impediment" = trở ngại cần xử lý ngay. | A significant change in scope requires a conversation with the product owner.
vocab-aspect | vocabulary | aspect, aspects | /ˈæspekt/ | n | one particular part or feature of a situation | khía cạnh, mặt | Dùng khi tách một vấn đề thành nhiều mặt: "which aspect of the process should be improved first?". | Which aspect of the team's process is causing the delay?
vocab-principle | vocabulary | principle, principles | /ˈprɪnsəpl/ | n | a fundamental rule or belief that guides behaviour | nguyên tắc | ĐỪNG lẫn với "principal" (chính, hiệu trưởng). Agile Manifesto có 4 values và 12 principles — con số hay bị hỏi trực tiếp. | The twelve principles expand on the four values of the manifesto.
vocab-lack | vocabulary | lack, lacks, lacked, lacking | /læk/ | n | the state of not having enough of something | sự thiếu hụt | Dùng cả danh từ và động từ: "a lack of trust" / "the team lacks trust". Đây là từ chẩn đoán vấn đề rất hay gặp trong đề. | A lack of psychological safety stops people from raising problems.
